bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
31-90,33,-0.285,18.175,11.402,1.0592,0.9346,0.046,TabICLv2,2018,4
91-180,83,-3.073,38.711,30.979,1.0144,2.5073,-0.018,TabICLv2,2018,4
181-270,72,-0.198,87.255,58.359,0.9002,0.8353,0.043,TabICLv2,2018,4
271-365,67,-0.085,64.566,27.957,0.8936,0.9096,-0.111,TabICLv2,2018,4
1-7,0,,,,,,,RF,2019,4
8-30,8,-3.897,73.322,62.346,1.3781,1.6288,-0.61,RF,2019,4
31-90,32,-0.686,29.099,23.133,1.4824,1.0591,0.186,RF,2019,4
91-180,62,0.177,79.448,50.212,0.8691,0.6609,0.455,RF,2019,4
181-270,61,0.52,25.094,18.775,0.3902,0.6674,0.751,RF,2019,4
271-365,66,0.183,47.692,20.438,0.7444,0.7744,0.504,RF,2019,4
1-7,0,,,,,,,XGB,2019,4
8-30,8,-3.177,67.714,55.475,1.2262,1.4493,-0.823,XGB,2019,4
31-90,32,-0.278,25.339,18.308,1.1732,0.8382,0.236,XGB,2019,4
91-180,62,0.186,79.03,48.36,0.837,0.6366,0.475,XGB,2019,4
181-270,61,0.524,24.988,17.936,0.3727,0.6376,0.766,XGB,2019,4
271-365,66,0.122,49.444,21.613,0.7873,0.819,0.355,XGB,2019,4
1-7,0,,,,,,,LightGBM,2019,4
8-30,8,-2.896,65.403,54.476,1.2041,1.4232,-0.467,LightGBM,2019,4
31-90,32,-0.251,25.066,18.159,1.1637,0.8314,0.272,LightGBM,2019,4
91-180,62,0.184,79.1,47.721,0.826,0.6281,0.492,LightGBM,2019,4
181-270,61,0.57,23.767,16.798,0.3491,0.5971,0.766,LightGBM,2019,4
271-365,66,0.12,49.495,20.234,0.737,0.7667,0.379,LightGBM,2019,4
1-7,0,,,,,,,SARIMAX,2019,4
8-30,8,-1.688,54.324,42.891,0.948,1.1205,-0.354,SARIMAX,2019,4
31-90,32,-0.242,24.981,19.951,1.2785,0.9134,0.054,SARIMAX,2019,4
91-180,62,0.224,77.163,51.098,0.8844,0.6726,0.479,SARIMAX,2019,4
181-270,61,0.451,26.843,21.259,0.4418,0.7557,0.774,SARIMAX,2019,4
271-365,66,0.091,50.3,26.295,0.9578,0.9963,0.407,SARIMAX,2019,4
1-7,0,,,,,,,Ensemble_unweighted,2019,4
8-30,8,-2.857,65.073,53.515,1.1829,1.3981,-0.643,Ensemble_unweighted,2019,4
31-90,32,-0.123,23.749,17.236,1.1045,0.7891,0.217,Ensemble_unweighted,2019,4
91-180,62,0.203,78.196,48.61,0.8414,0.6398,0.483,Ensemble_unweighted,2019,4
181-270,61,0.573,23.687,16.725,0.3476,0.5945,0.771,Ensemble_unweighted,2019,4
271-365,66,0.156,48.484,20.146,0.7338,0.7634,0.421,Ensemble_unweighted,2019,4
1-7,0,,,,,,,Ensemble_MASEweighted,2019,4
8-30,8,-2.866,65.149,53.592,1.1846,1.4001,-0.646,Ensemble_MASEweighted,2019,4
31-90,32,-0.127,23.793,17.256,1.1058,0.79,0.219,Ensemble_MASEweighted,2019,4
91-180,62,0.202,78.218,48.596,0.8411,0.6397,0.483,Ensemble_MASEweighted,2019,4
181-270,61,0.572,23.691,16.739,0.3479,0.595,0.771,Ensemble_MASEweighted,2019,4
271-365,66,0.155,48.504,20.145,0.7338,0.7633,0.42,Ensemble_MASEweighted,2019,4
1-7,0,,,,,,,TFT,2019,4
8-30,8,-3.469,70.044,58.705,1.2976,1.5337,-0.284,TFT,2019,4
31-90,32,-0.23,24.852,20.306,1.3013,0.9297,0.012,TFT,2019,4
91-180,62,0.051,85.306,49.969,0.8649,0.6577,0.431,TFT,2019,4
181-270,61,0.153,33.351,27.134,0.5639,0.9646,0.56,TFT,2019,4
271-365,66,-0.049,54.043,23.935,0.8718,0.9069,0.007,TFT,2019,4
1-7,0,,,,,,,TabPFN,2019,4
8-30,8,-1.538,52.786,41.345,0.9139,1.0801,-0.027,TabPFN,2019,4
31-90,32,-0.159,24.123,19.148,1.2271,0.8767,0.48,TabPFN,2019,4
91-180,62,-0.296,99.709,59.246,1.0254,0.7798,0.429,TabPFN,2019,4
181-270,61,0.302,30.277,20.575,0.4276,0.7314,0.762,TabPFN,2019,4
271-365,66,-0.051,54.085,22.377,0.8151,0.8479,0.415,TabPFN,2019,4
1-7,0,,,,,,,DLinear,2019,4
8-30,8,-1.871,56.145,46.969,1.0382,1.2271,-0.815,DLinear,2019,4
31-90,32,-4.609,53.078,42.823,2.7442,1.9606,-0.049,DLinear,2019,4
91-180,62,0.261,75.277,47.796,0.8273,0.6291,0.537,DLinear,2019,4
181-270,61,-1.821,60.854,48.576,1.0095,1.7268,0.547,DLinear,2019,4
271-365,66,-0.34,61.083,39.932,1.4545,1.5131,0.376,DLinear,2019,4
1-7,0,,,,,,,LSTM,2019,4
8-30,8,-1.7,54.442,42.995,0.9504,1.1232,-0.242,LSTM,2019,4
31-90,32,-0.019,22.621,17.699,1.1342,0.8103,0.074,LSTM,2019,4
91-180,62,-0.191,95.592,59.924,1.0372,0.7888,0.394,LSTM,2019,4
181-270,61,0.087,34.62,21.342,0.4435,0.7587,0.48,LSTM,2019,4
271-365,66,-0.098,55.279,25.198,0.9178,0.9548,0.311,LSTM,2019,4
