bin,n,R2,MAE,MASE,model,anchor_year,eval_tower
271-365,0,,,,Ensemble_4model_tuned,2022,2
1-7,0,,,,RF_tuned,2022,4
8-30,0,,,,RF_tuned,2022,4
31-90,1,,,,RF_tuned,2022,4
91-180,75,0.005,26.494,1.2218,RF_tuned,2022,4
181-270,74,0.04,41.723,1.1726,RF_tuned,2022,4
271-365,74,0.134,23.161,1.0242,RF_tuned,2022,4
1-7,0,,,,XGB_tuned,2022,4
8-30,0,,,,XGB_tuned,2022,4
31-90,1,,,,XGB_tuned,2022,4
91-180,75,0.102,24.7,1.1391,XGB_tuned,2022,4
181-270,74,0.057,40.545,1.1395,XGB_tuned,2022,4
271-365,74,0.101,24.391,1.0786,XGB_tuned,2022,4
1-7,0,,,,LightGBM_tuned,2022,4
8-30,0,,,,LightGBM_tuned,2022,4
31-90,1,,,,LightGBM_tuned,2022,4
91-180,75,0.156,22.456,1.0355,LightGBM_tuned,2022,4
181-270,74,0.053,41.063,1.1541,LightGBM_tuned,2022,4
271-365,74,0.19,20.837,0.9214,LightGBM_tuned,2022,4
1-7,0,,,,SARIMAX,2022,4
8-30,0,,,,SARIMAX,2022,4
31-90,1,,,,SARIMAX,2022,4
91-180,75,0.235,22.491,1.0372,SARIMAX,2022,4
181-270,74,0.034,41.129,1.1559,SARIMAX,2022,4
271-365,74,-0.056,24.989,1.1051,SARIMAX,2022,4
1-7,0,,,,Ensemble_4model_tuned,2022,4
8-30,0,,,,Ensemble_4model_tuned,2022,4
31-90,1,,,,Ensemble_4model_tuned,2022,4
91-180,75,0.142,23.753,1.0954,Ensemble_4model_tuned,2022,4
181-270,74,0.061,40.88,1.1489,Ensemble_4model_tuned,2022,4
271-365,74,0.146,22.703,1.004,Ensemble_4model_tuned,2022,4
1-7,0,,,,RF_tuned,2022,9
8-30,0,,,,RF_tuned,2022,9
31-90,14,-0.525,13.822,1.0798,RF_tuned,2022,9
91-180,84,-0.941,21.339,1.3889,RF_tuned,2022,9
181-270,84,-0.221,44.877,1.1882,RF_tuned,2022,9
271-365,89,0.106,30.784,1.0171,RF_tuned,2022,9
1-7,0,,,,XGB_tuned,2022,9
8-30,0,,,,XGB_tuned,2022,9
31-90,14,-1.01,16.849,1.3163,XGB_tuned,2022,9
91-180,84,-0.904,21.082,1.3721,XGB_tuned,2022,9
181-270,84,-0.152,43.351,1.1478,XGB_tuned,2022,9
271-365,89,0.109,30.835,1.0188,XGB_tuned,2022,9
1-7,0,,,,LightGBM_tuned,2022,9
8-30,0,,,,LightGBM_tuned,2022,9
31-90,14,-0.324,13.199,1.0312,LightGBM_tuned,2022,9
91-180,84,-0.621,19.162,1.2472,LightGBM_tuned,2022,9
181-270,84,-0.384,47.585,1.2599,LightGBM_tuned,2022,9
271-365,89,0.059,30.817,1.0182,LightGBM_tuned,2022,9
1-7,0,,,,SARIMAX,2022,9
8-30,0,,,,SARIMAX,2022,9
31-90,14,-1.252,21.065,1.6457,SARIMAX,2022,9
91-180,84,-0.314,16.103,1.0481,SARIMAX,2022,9
181-270,84,-0.042,39.054,1.034,SARIMAX,2022,9
271-365,89,0.064,29.299,0.968,SARIMAX,2022,9
1-7,0,,,,Ensemble_4model_tuned,2022,9
8-30,0,,,,Ensemble_4model_tuned,2022,9
31-90,14,-0.4,13.842,1.0814,Ensemble_4model_tuned,2022,9
91-180,84,-0.426,17.37,1.1306,Ensemble_4model_tuned,2022,9
181-270,84,-0.159,43.085,1.1408,Ensemble_4model_tuned,2022,9
271-365,89,0.108,29.778,0.9839,Ensemble_4model_tuned,2022,9
