anchor_year,eval_tower,model,date,q05,median,q95,y_true
2019,9,Ensemble_MASEweighted,2020-02-25,-9.84490942584178,29.528417935056133,92.6499438608269,
2019,9,Ensemble_MASEweighted,2020-02-26,-10.989062891109379,24.43046917803618,70.54945089837646,
2019,9,Ensemble_MASEweighted,2020-02-27,-12.730049079413371,22.641461730199104,74.96484656683856,
2019,9,Ensemble_MASEweighted,2020-02-28,-8.444894952483295,34.45840624699635,93.16030558777663,
2019,9,Ensemble_MASEweighted,2020-02-29,-7.5669568343765405,39.75545828848053,119.66505243414852,
2019,9,Ensemble_MASEweighted,2020-03-01,-12.632003445876684,25.19178136118266,78.82183252850128,
2019,9,Ensemble_MASEweighted,2020-03-02,-14.901993293271296,16.92424510429579,60.51531623573457,
2019,9,Ensemble_MASEweighted,2020-03-03,-15.399661759814801,15.17156157814269,50.89788469431622,-5.120956722666667
2019,9,Ensemble_MASEweighted,2020-03-04,-15.587274210644146,14.837925664995574,54.579052753453766,
2019,9,Ensemble_MASEweighted,2020-03-05,-13.700162241791938,25.00839146846016,93.20436955667753,68.13008591925
2019,9,Ensemble_MASEweighted,2020-03-06,-15.32437816150673,16.783586613548078,53.34170989697412,13.998484806153844
2019,9,Ensemble_MASEweighted,2020-03-07,-12.992021174492445,21.882798919599523,64.78372676808448,24.69992013775
2019,9,Ensemble_MASEweighted,2020-03-08,-10.701203081004637,31.244867520687208,87.93738804190437,5.58134852085
2019,9,Ensemble_MASEweighted,2020-03-09,-12.050486956491815,28.199519099476042,81.89418310482789,13.243692270777778
2019,9,Ensemble_MASEweighted,2020-03-10,-8.968717068661244,38.05174792281215,97.52552663019458,
2019,9,Ensemble_MASEweighted,2020-03-11,-11.704167849122339,30.32687037647323,85.03615422704166,-15.2248728324
2019,9,Ensemble_MASEweighted,2020-03-12,-11.181769306366643,32.10018489861344,94.56320125456041,11.0995245721875
2019,9,Ensemble_MASEweighted,2020-03-13,-15.404471014792879,19.315090854344707,67.20554869886028,21.33272313666667
2019,9,Ensemble_MASEweighted,2020-03-14,-15.819554715997835,17.370193093788796,61.940337130886796,17.155821541409093
2019,9,Ensemble_MASEweighted,2020-03-15,-14.98029285526952,22.780143786936602,81.75086986448045,
2019,9,Ensemble_MASEweighted,2020-03-16,-19.335166395153635,13.548896855386579,50.42938212877307,-6.92708572525
2019,9,Ensemble_MASEweighted,2020-03-17,-15.52641647920843,17.92828977051502,60.53206414782946,11.840308474111112
2019,9,Ensemble_MASEweighted,2020-03-18,-16.221628553573026,17.25067109863806,60.59783057236518,-11.631170621866666
2019,9,Ensemble_MASEweighted,2020-03-19,-17.249575258209976,18.932408523351796,63.793625570995374,12.518710361999998
2019,9,Ensemble_MASEweighted,2020-03-20,-17.765597959164317,17.018398630208512,63.89114278923064,-3.932100534
2019,9,Ensemble_MASEweighted,2020-03-21,-17.151402689941584,15.530330921641879,48.54183528692347,
2019,9,Ensemble_MASEweighted,2020-03-22,-20.078658339352856,12.48298183063156,47.26487789450846,
2019,9,Ensemble_MASEweighted,2020-03-23,-19.45637969186785,12.624001750443634,43.94459698289958,
2019,9,Ensemble_MASEweighted,2020-03-24,-19.32470213082581,12.626409151593121,43.013128033031364,
2019,9,Ensemble_MASEweighted,2020-03-25,-20.07058959588614,11.90637780907365,41.39764885888154,
2019,9,Ensemble_MASEweighted,2020-03-26,-21.127555696317884,11.542827544177838,48.66757219525691,
2019,9,Ensemble_MASEweighted,2020-03-27,-20.913798222667854,11.720683275117823,45.580525262949855,-5.924728244035713
2019,9,Ensemble_MASEweighted,2020-03-28,-18.018943518079375,16.819899511107472,59.026480805990644,46.932820047029416
2019,9,Ensemble_MASEweighted,2020-03-29,-17.0015416179214,22.3419379354479,65.12692631226174,68.19851004
2019,9,Ensemble_MASEweighted,2020-03-30,-19.563376818661286,15.771181451062885,57.98028299175304,25.77523610908333
2019,9,Ensemble_MASEweighted,2020-03-31,-19.721614986153583,15.22270671032435,57.69318321683094,3.892582533428573
2019,9,Ensemble_MASEweighted,2020-04-01,-20.21341386005323,13.87166014240198,49.90603503234472,-12.322247699611111
2019,9,Ensemble_MASEweighted,2020-04-02,-18.392367218291316,15.21671965885778,54.0759407637884,8.468450332566666
2019,9,Ensemble_MASEweighted,2020-04-03,-19.390106707046915,13.38474269820585,47.33759099729018,7.093158057416667
2019,9,Ensemble_MASEweighted,2020-04-04,-18.02762376816117,15.793081674360803,54.667551154234964,4.790336673833333
2019,9,Ensemble_MASEweighted,2020-04-05,-16.827823733372206,20.337539637863475,66.30934411354737,22.23159584781818
2019,9,Ensemble_MASEweighted,2020-04-06,-20.138044130729284,14.647194268454015,56.43526816418817,-20.68572918142308
2019,9,Ensemble_MASEweighted,2020-04-07,-20.254349471353233,13.428301104615446,48.54683546392724,11.6209055865
2019,9,Ensemble_MASEweighted,2020-04-08,-21.64814171027738,12.18521990578414,46.15662248664656,8.6960951789
2019,9,Ensemble_MASEweighted,2020-04-09,-22.411327893588513,11.567168883033116,44.800149112364764,-7.19057566205
2019,9,Ensemble_MASEweighted,2020-04-10,-21.481244667015442,12.440439873534247,46.87830845703154,-4.143438686764706
2019,9,Ensemble_MASEweighted,2020-04-11,-22.072447304456123,11.961729029239828,44.6662055945823,7.849321912055554
2019,9,Ensemble_MASEweighted,2020-04-12,-22.23233177711802,11.648461089788398,43.55495649692572,-2.2724321046666662
2019,9,Ensemble_MASEweighted,2020-04-13,-20.484923181024847,15.93880282865199,58.19413622818718,-1.2138998425882352
2019,9,Ensemble_MASEweighted,2020-04-14,-22.322641219824128,12.923197794290724,53.16372048516439,-9.156249757794118
2019,9,Ensemble_MASEweighted,2020-04-15,5.205331542109846,51.5258278760522,142.66870362823127,36.7221243961875
2019,9,Ensemble_MASEweighted,2020-04-16,7.640927843068379,60.8394276014472,146.72876481641686,58.53244724852631
2019,9,Ensemble_MASEweighted,2020-04-17,11.09658043463363,65.94708520963721,148.76816947119454,52.115060747875006
2019,9,Ensemble_MASEweighted,2020-04-18,12.793559523610039,66.81319764737708,149.86090623789718,47.745853376
2019,9,Ensemble_MASEweighted,2020-04-19,13.245308892027506,66.77091136252352,150.39701499066908,97.42840716171428
2019,9,Ensemble_MASEweighted,2020-04-20,13.314660692852373,69.05956565705824,158.57442627390262,59.43405734261111
2019,9,Ensemble_MASEweighted,2020-04-21,14.493134853433906,71.36476553644405,155.73212697874555,70.13172713469231
2019,9,Ensemble_MASEweighted,2020-04-22,14.921378814155302,72.77799502325203,157.91888596110113,51.23630014576667
2019,9,Ensemble_MASEweighted,2020-04-23,13.924025844870984,71.15912370128758,158.09204957295242,43.9756098035
2019,9,Ensemble_MASEweighted,2020-04-24,14.667157100773247,70.6701182433982,157.09219859131608,-4.227892465133333
