bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower
271-365,49,0.09,109.044,56.908,0.8031,0.7576,0.591,SARIMAX,2019,9
1-7,0,,,,,,,Ensemble_unweighted,2019,9
8-30,0,,,,,,,Ensemble_unweighted,2019,9
31-90,16,-0.644,25.752,20.503,1.24,0.9015,0.308,Ensemble_unweighted,2019,9
91-180,81,0.317,59.012,42.006,0.7404,0.6798,0.579,Ensemble_unweighted,2019,9
181-270,49,0.095,64.019,40.132,1.0392,1.0211,0.388,Ensemble_unweighted,2019,9
271-365,49,0.123,107.056,53.81,0.7594,0.7164,0.624,Ensemble_unweighted,2019,9
1-7,0,,,,,,,Ensemble_MASEweighted,2019,9
8-30,0,,,,,,,Ensemble_MASEweighted,2019,9
31-90,16,-0.66,25.874,20.577,1.2445,0.9048,0.31,Ensemble_MASEweighted,2019,9
91-180,81,0.317,59.026,42.022,0.7407,0.6801,0.579,Ensemble_MASEweighted,2019,9
181-270,49,0.094,64.07,40.251,1.0423,1.0241,0.388,Ensemble_MASEweighted,2019,9
271-365,49,0.123,107.035,53.827,0.7596,0.7166,0.625,Ensemble_MASEweighted,2019,9
1-7,0,,,,,,,TFT,2019,9
8-30,0,,,,,,,TFT,2019,9
31-90,16,-0.529,24.829,18.24,1.1032,0.802,-0.211,TFT,2019,9
91-180,81,0.014,70.944,44.281,0.7805,0.7166,0.413,TFT,2019,9
181-270,49,0.014,66.831,42.005,1.0877,1.0687,0.203,TFT,2019,9
271-365,49,-0.271,128.897,70.671,0.9973,0.9408,-0.034,TFT,2019,9
1-7,0,,,,,,,TabPFN,2019,9
8-30,0,,,,,,,TabPFN,2019,9
31-90,16,-1.012,28.484,22.743,1.3755,1.0,,TabPFN,2019,9
91-180,81,-0.64,91.467,61.791,1.0891,1.0,,TabPFN,2019,9
181-270,49,-0.036,68.515,39.304,1.0178,1.0,,TabPFN,2019,9
271-365,49,-0.406,135.523,75.116,1.06,1.0,,TabPFN,2019,9
1-7,0,,,,,,,RF,2020,2
8-30,0,,,,,,,RF,2020,2
31-90,0,,,,,,,RF,2020,2
91-180,0,,,,,,,RF,2020,2
181-270,0,,,,,,,RF,2020,2
271-365,0,,,,,,,RF,2020,2
1-7,0,,,,,,,XGB,2020,2
8-30,0,,,,,,,XGB,2020,2
31-90,0,,,,,,,XGB,2020,2
91-180,0,,,,,,,XGB,2020,2
181-270,0,,,,,,,XGB,2020,2
271-365,0,,,,,,,XGB,2020,2
1-7,0,,,,,,,LightGBM,2020,2
8-30,0,,,,,,,LightGBM,2020,2
31-90,0,,,,,,,LightGBM,2020,2
91-180,0,,,,,,,LightGBM,2020,2
181-270,0,,,,,,,LightGBM,2020,2
271-365,0,,,,,,,LightGBM,2020,2
1-7,0,,,,,,,SARIMAX,2020,2
8-30,0,,,,,,,SARIMAX,2020,2
31-90,0,,,,,,,SARIMAX,2020,2
91-180,0,,,,,,,SARIMAX,2020,2
181-270,0,,,,,,,SARIMAX,2020,2
271-365,0,,,,,,,SARIMAX,2020,2
1-7,0,,,,,,,Ensemble_unweighted,2020,2
8-30,0,,,,,,,Ensemble_unweighted,2020,2
31-90,0,,,,,,,Ensemble_unweighted,2020,2
91-180,0,,,,,,,Ensemble_unweighted,2020,2
181-270,0,,,,,,,Ensemble_unweighted,2020,2
271-365,0,,,,,,,Ensemble_unweighted,2020,2
1-7,0,,,,,,,Ensemble_MASEweighted,2020,2
8-30,0,,,,,,,Ensemble_MASEweighted,2020,2
31-90,0,,,,,,,Ensemble_MASEweighted,2020,2
91-180,0,,,,,,,Ensemble_MASEweighted,2020,2
181-270,0,,,,,,,Ensemble_MASEweighted,2020,2
271-365,0,,,,,,,Ensemble_MASEweighted,2020,2
1-7,0,,,,,,,TFT,2020,2
8-30,0,,,,,,,TFT,2020,2
31-90,0,,,,,,,TFT,2020,2
91-180,0,,,,,,,TFT,2020,2
181-270,0,,,,,,,TFT,2020,2
271-365,0,,,,,,,TFT,2020,2
1-7,0,,,,,,,TabPFN,2020,2
8-30,0,,,,,,,TabPFN,2020,2
31-90,0,,,,,,,TabPFN,2020,2
91-180,0,,,,,,,TabPFN,2020,2
181-270,0,,,,,,,TabPFN,2020,2
271-365,0,,,,,,,TabPFN,2020,2
1-7,4,-5.172,18.727,17.226,1.5305,1.9431,0.425,RF,2020,4
8-30,21,-1.103,21.374,18.281,1.4464,1.5934,0.211,RF,2020,4
31-90,37,-0.096,45.971,31.407,1.1887,1.0829,-0.075,RF,2020,4
91-180,42,0.039,20.538,16.492,0.9756,0.7853,0.31,RF,2020,4
181-270,79,0.112,77.159,49.943,0.9796,0.8195,0.347,RF,2020,4
271-365,80,0.232,87.457,35.142,0.8962,0.8147,0.56,RF,2020,4
1-7,4,-6.158,20.168,18.534,1.6468,2.0907,0.38,XGB,2020,4
8-30,21,-0.431,17.629,13.287,1.0513,1.1581,0.169,XGB,2020,4
31-90,37,-0.121,46.498,30.907,1.1697,1.0657,-0.195,XGB,2020,4
91-180,42,-0.005,21.007,16.443,0.9728,0.783,0.236,XGB,2020,4
181-270,79,0.097,77.818,48.07,0.9428,0.7888,0.311,XGB,2020,4
271-365,80,0.143,92.422,39.833,1.0158,0.9234,0.422,XGB,2020,4
1-7,4,-5.556,19.301,17.701,1.5727,1.9967,0.326,LightGBM,2020,4
8-30,21,-0.603,18.659,14.546,1.1509,1.2678,0.203,LightGBM,2020,4
31-90,37,-0.116,46.404,31.577,1.1951,1.0887,-0.133,LightGBM,2020,4
91-180,42,0.032,20.614,16.448,0.973,0.7832,0.247,LightGBM,2020,4
181-270,79,0.105,77.458,48.826,0.9577,0.8012,0.326,LightGBM,2020,4
271-365,80,0.145,92.326,39.23,1.0004,0.9094,0.435,LightGBM,2020,4
1-7,4,-1.438,11.771,9.319,0.828,1.0512,0.018,SARIMAX,2020,4
8-30,21,0.189,13.273,10.237,0.8099,0.8922,0.448,SARIMAX,2020,4
31-90,37,-0.057,45.149,26.698,1.0104,0.9205,0.049,SARIMAX,2020,4
91-180,42,0.056,20.353,17.31,1.024,0.8242,0.421,SARIMAX,2020,4
181-270,79,0.094,77.92,50.953,0.9994,0.8361,0.317,SARIMAX,2020,4
271-365,80,0.124,93.447,40.837,1.0414,0.9467,0.371,SARIMAX,2020,4
1-7,4,-4.187,17.169,15.519,1.3789,1.7506,0.358,Ensemble_unweighted,2020,4
8-30,21,-0.279,16.667,12.264,0.9703,1.0689,0.275,Ensemble_unweighted,2020,4
31-90,37,-0.08,45.633,29.787,1.1274,1.027,-0.099,Ensemble_unweighted,2020,4
91-180,42,0.087,20.017,16.136,0.9546,0.7683,0.345,Ensemble_unweighted,2020,4
181-270,79,0.109,77.283,48.961,0.9603,0.8034,0.332,Ensemble_unweighted,2020,4
271-365,80,0.167,91.13,37.661,0.9604,0.8731,0.462,Ensemble_unweighted,2020,4
1-7,4,-4.238,17.253,15.609,1.3869,1.7608,0.359,Ensemble_MASEweighted,2020,4
8-30,21,-0.287,16.718,12.31,0.974,1.073,0.272,Ensemble_MASEweighted,2020,4
31-90,37,-0.081,45.656,29.837,1.1292,1.0288,-0.101,Ensemble_MASEweighted,2020,4
91-180,42,0.086,20.033,16.119,0.9536,0.7675,0.342,Ensemble_MASEweighted,2020,4
181-270,79,0.109,77.287,48.944,0.96,0.8031,0.332,Ensemble_MASEweighted,2020,4
271-365,80,0.166,91.154,37.693,0.9612,0.8738,0.462,Ensemble_MASEweighted,2020,4
1-7,4,-0.319,8.658,6.31,0.5607,0.7118,0.064,TFT,2020,4
8-30,21,-0.492,18.002,12.334,0.9759,1.075,-0.217,TFT,2020,4
31-90,37,0.037,43.096,25.098,0.9499,0.8654,0.302,TFT,2020,4
91-180,42,-0.008,21.035,16.289,0.9636,0.7756,0.433,TFT,2020,4
181-270,79,-0.122,86.74,53.871,1.0566,0.884,0.142,TFT,2020,4
271-365,80,-0.006,100.114,39.508,1.0075,0.9159,0.15,TFT,2020,4
1-7,4,-0.225,8.342,6.304,0.5601,0.7111,-0.743,TabPFN,2020,4
