bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
271-365,67,-0.092,64.779,27.564,0.9055,0.8968,0.009,observed,TabPFN,BASE+species,2018,4
1-7,7,-1.142,31.186,22.658,1.5557,0.6971,-0.249,gapfilled,TabPFN,BASE+species,2018,4
8-30,23,-0.676,15.277,11.735,1.0194,0.7234,0.762,gapfilled,TabPFN,BASE+species,2018,4
31-90,60,-1.068,26.94,19.695,1.3506,0.9173,0.238,gapfilled,TabPFN,BASE+species,2018,4
91-180,90,-0.074,14.696,10.093,0.6712,0.8219,-0.059,gapfilled,TabPFN,BASE+species,2018,4
181-270,90,-0.404,65.534,44.768,0.8428,0.6692,0.452,gapfilled,TabPFN,BASE+species,2018,4
271-365,95,-0.098,41.102,26.608,0.9905,0.7968,0.652,gapfilled,TabPFN,BASE+species,2018,4
1-7,1,,,,,,,observed,TabICLv2,BASE+species,2018,4
8-30,7,-0.163,9.214,5.805,0.3827,0.8301,-0.064,observed,TabICLv2,BASE+species,2018,4
31-90,33,-0.305,18.317,11.594,0.7059,0.9503,-0.092,observed,TabICLv2,BASE+species,2018,4
91-180,83,-1.229,28.638,22.087,1.212,1.7877,-0.03,observed,TabICLv2,BASE+species,2018,4
181-270,72,-0.123,84.484,56.96,0.9323,0.8153,0.147,observed,TabICLv2,BASE+species,2018,4
271-365,67,-0.077,64.317,27.545,0.9048,0.8962,-0.056,observed,TabICLv2,BASE+species,2018,4
1-7,7,-1.138,31.155,22.208,1.5248,0.6832,-0.281,gapfilled,TabICLv2,BASE+species,2018,4
8-30,23,-0.629,15.063,11.371,0.9878,0.701,0.738,gapfilled,TabICLv2,BASE+species,2018,4
31-90,60,-0.979,26.352,18.621,1.277,0.8673,-0.196,gapfilled,TabICLv2,BASE+species,2018,4
91-180,90,-1.917,24.223,19.081,1.2688,1.5537,-0.12,gapfilled,TabICLv2,BASE+species,2018,4
181-270,90,-0.292,62.855,42.116,0.7928,0.6296,0.326,gapfilled,TabICLv2,BASE+species,2018,4
