bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
91-180,90,-0.387,16.703,12.926,0.8595,1.0525,0.449,Ensemble_unweighted,2018,4,B_resample,0.9222222222222223
181-270,90,-0.256,61.969,47.087,0.8864,0.7039,0.391,Ensemble_unweighted,2018,4,B_resample,0.8
271-365,95,0.232,34.38,22.792,0.8485,0.6825,0.555,Ensemble_unweighted,2018,4,B_resample,0.7052631578947368
1-7,7,-0.027,21.591,18.454,1.2671,0.5678,-0.046,Ensemble_MASEweighted,2018,4,B_resample,0.14285714285714285
8-30,23,0.264,10.125,8.327,0.7233,0.5133,0.79,Ensemble_MASEweighted,2018,4,B_resample,0.30434782608695654
31-90,60,-0.131,19.918,13.38,0.9176,0.6232,0.143,Ensemble_MASEweighted,2018,4,B_resample,0.55
91-180,90,-0.382,16.676,12.882,0.8566,1.0489,0.449,Ensemble_MASEweighted,2018,4,B_resample,0.9222222222222223
181-270,90,-0.262,62.132,47.206,0.8887,0.7057,0.39,Ensemble_MASEweighted,2018,4,B_resample,0.8
271-365,95,0.229,34.441,22.8,0.8488,0.6827,0.554,Ensemble_MASEweighted,2018,4,B_resample,0.7052631578947368
1-7,7,0.037,56.636,46.39,1.6303,1.0204,0.443,RF,2018,9,A_removal,0.0
8-30,23,0.006,45.974,30.079,1.5871,0.9856,0.307,RF,2018,9,A_removal,0.0
31-90,60,0.022,43.037,22.216,0.905,0.6002,0.618,RF,2018,9,A_removal,0.0
91-180,90,0.109,10.521,6.998,0.9311,0.4585,0.41,RF,2018,9,A_removal,0.0
181-270,90,0.105,53.567,40.863,0.5117,0.4276,0.737,RF,2018,9,A_removal,0.0
271-365,95,0.28,23.271,17.675,0.9217,0.5963,0.627,RF,2018,9,A_removal,0.0
1-7,7,0.224,50.849,34.774,1.2221,0.7649,0.868,XGB,2018,9,A_removal,0.0
8-30,23,0.15,42.51,16.425,0.8666,0.5382,0.526,XGB,2018,9,A_removal,0.0
31-90,60,-0.055,44.7,23.289,0.9487,0.6292,0.626,XGB,2018,9,A_removal,0.0
91-180,90,0.022,11.023,6.127,0.8152,0.4014,0.281,XGB,2018,9,A_removal,0.0
181-270,90,0.527,38.942,29.819,0.3734,0.312,0.803,XGB,2018,9,A_removal,0.0
271-365,95,0.291,23.092,16.032,0.8361,0.5409,0.569,XGB,2018,9,A_removal,0.0
1-7,7,0.2,51.642,41.576,1.4611,0.9145,0.7,LightGBM,2018,9,A_removal,0.0
8-30,23,0.15,42.502,19.896,1.0498,0.6519,0.426,LightGBM,2018,9,A_removal,0.0
31-90,60,0.025,42.967,22.155,0.9025,0.5986,0.604,LightGBM,2018,9,A_removal,0.0
91-180,90,-0.041,11.37,6.654,0.8854,0.436,0.27,LightGBM,2018,9,A_removal,0.0
181-270,90,0.456,41.742,32.275,0.4042,0.3377,0.782,LightGBM,2018,9,A_removal,0.0
271-365,95,0.113,25.831,19.097,0.9959,0.6443,0.526,LightGBM,2018,9,A_removal,0.0
1-7,7,-0.184,62.815,58.182,2.0447,1.2798,0.103,SARIMAX,2018,9,A_removal,0.0
8-30,23,-0.546,57.312,51.005,2.6912,1.6712,0.285,SARIMAX,2018,9,A_removal,0.0
31-90,60,-0.137,46.42,39.668,1.6159,1.0717,0.309,SARIMAX,2018,9,A_removal,0.0
91-180,90,-20.755,51.981,50.915,6.7746,3.3362,0.202,SARIMAX,2018,9,A_removal,0.0
181-270,90,0.182,51.189,43.623,0.5463,0.4564,0.697,SARIMAX,2018,9,A_removal,0.0
271-365,95,-2.706,52.79,49.846,2.5995,1.6818,0.64,SARIMAX,2018,9,A_removal,0.0
1-7,7,0.102,54.714,45.23,1.5896,0.9949,0.774,Ensemble_unweighted,2018,9,A_removal,0.0
8-30,23,0.045,45.041,29.153,1.5382,0.9552,0.394,Ensemble_unweighted,2018,9,A_removal,0.0
31-90,60,0.085,41.639,23.918,0.9743,0.6462,0.631,Ensemble_unweighted,2018,9,A_removal,0.0
91-180,90,-1.345,17.067,15.64,2.081,1.0248,0.364,Ensemble_unweighted,2018,9,A_removal,0.0
181-270,90,0.495,40.244,32.439,0.4063,0.3394,0.788,Ensemble_unweighted,2018,9,A_removal,0.0
271-365,95,-0.031,27.84,23.96,1.2495,0.8084,0.636,Ensemble_unweighted,2018,9,A_removal,0.0
