bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
271-365,67,0.041,60.687,31.222,1.0256,1.0159,0.205,LightGBM,BASE+species,2018,4
1-7,1,,,,,,,SARIMAX,BASE+species,2018,4
8-30,7,-1.881,14.501,13.479,0.8885,1.9275,0.555,SARIMAX,BASE+species,2018,4
31-90,33,-0.161,17.28,15.233,0.9274,1.2486,0.327,SARIMAX,BASE+species,2018,4
91-180,83,-0.926,26.617,22.108,1.2131,1.7893,0.213,SARIMAX,BASE+species,2018,4
181-270,72,0.034,78.363,64.108,1.0493,0.9176,0.32,SARIMAX,BASE+species,2018,4
271-365,67,-0.17,67.054,43.147,1.4174,1.4038,0.114,SARIMAX,BASE+species,2018,4
1-7,1,,,,,,,Ensemble_unweighted,BASE+species,2018,4
8-30,7,-0.652,10.98,10.384,0.6845,1.4849,0.697,Ensemble_unweighted,BASE+species,2018,4
31-90,33,0.031,15.78,13.243,0.8063,1.0855,0.375,Ensemble_unweighted,BASE+species,2018,4
91-180,83,-0.491,23.418,17.63,0.9674,1.4269,0.218,Ensemble_unweighted,BASE+species,2018,4
181-270,72,0.121,74.726,57.56,0.9421,0.8239,0.35,Ensemble_unweighted,BASE+species,2018,4
271-365,67,0.006,61.804,34.045,1.1184,1.1077,0.158,Ensemble_unweighted,BASE+species,2018,4
1-7,1,,,,,,,Ensemble_MASEweighted,BASE+species,2018,4
8-30,7,-0.635,10.925,10.325,0.6806,1.4764,0.698,Ensemble_MASEweighted,BASE+species,2018,4
31-90,33,0.033,15.769,13.202,0.8038,1.0821,0.372,Ensemble_MASEweighted,BASE+species,2018,4
91-180,83,-0.485,23.371,17.56,0.9636,1.4213,0.217,Ensemble_MASEweighted,BASE+species,2018,4
181-270,72,0.121,74.721,57.502,0.9412,0.823,0.35,Ensemble_MASEweighted,BASE+species,2018,4
271-365,67,0.008,61.743,33.939,1.1149,1.1042,0.16,Ensemble_MASEweighted,BASE+species,2018,4
1-7,0,,,,,,,RF,BASE+species,2018,9
8-30,0,,,,,,,RF,BASE+species,2018,9
31-90,0,,,,,,,RF,BASE+species,2018,9
91-180,0,,,,,,,RF,BASE+species,2018,9
181-270,0,,,,,,,RF,BASE+species,2018,9
271-365,0,,,,,,,RF,BASE+species,2018,9
1-7,0,,,,,,,XGB,BASE+species,2018,9
8-30,0,,,,,,,XGB,BASE+species,2018,9
31-90,0,,,,,,,XGB,BASE+species,2018,9
91-180,0,,,,,,,XGB,BASE+species,2018,9
181-270,0,,,,,,,XGB,BASE+species,2018,9
271-365,0,,,,,,,XGB,BASE+species,2018,9
1-7,0,,,,,,,LightGBM,BASE+species,2018,9
8-30,0,,,,,,,LightGBM,BASE+species,2018,9
31-90,0,,,,,,,LightGBM,BASE+species,2018,9
91-180,0,,,,,,,LightGBM,BASE+species,2018,9
181-270,0,,,,,,,LightGBM,BASE+species,2018,9
271-365,0,,,,,,,LightGBM,BASE+species,2018,9
1-7,0,,,,,,,SARIMAX,BASE+species,2018,9
8-30,0,,,,,,,SARIMAX,BASE+species,2018,9
31-90,0,,,,,,,SARIMAX,BASE+species,2018,9
91-180,0,,,,,,,SARIMAX,BASE+species,2018,9
181-270,0,,,,,,,SARIMAX,BASE+species,2018,9
271-365,0,,,,,,,SARIMAX,BASE+species,2018,9
1-7,0,,,,,,,Ensemble_unweighted,BASE+species,2018,9
8-30,0,,,,,,,Ensemble_unweighted,BASE+species,2018,9
31-90,0,,,,,,,Ensemble_unweighted,BASE+species,2018,9
91-180,0,,,,,,,Ensemble_unweighted,BASE+species,2018,9
181-270,0,,,,,,,Ensemble_unweighted,BASE+species,2018,9
271-365,0,,,,,,,Ensemble_unweighted,BASE+species,2018,9
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,9
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,9
31-90,0,,,,,,,Ensemble_MASEweighted,BASE+species,2018,9
