tower,anchor_year,model,bin,n,R2,RMSE,MAE,WAPE,Correlation,MASE_persistence,MASE_climatology_obs,MASE_climatology_gf
2,2021,SARIMAX,8-30,0,,,,,,,,
2,2021,SARIMAX,91-180,0,,,,,,,,
2,2021,TFT,1-7,0,,,,,,,,
2,2021,TFT,181-270,0,,,,,,,,
2,2021,TFT,271-365,0,,,,,,,,
2,2021,TFT,31-90,0,,,,,,,,
2,2021,TFT,8-30,0,,,,,,,,
2,2021,TFT,91-180,0,,,,,,,,
2,2021,TabICLv2,1-7,0,,,,,,,,
2,2021,TabICLv2,181-270,0,,,,,,,,
2,2021,TabICLv2,271-365,0,,,,,,,,
2,2021,TabICLv2,31-90,0,,,,,,,,
2,2021,TabICLv2,8-30,0,,,,,,,,
2,2021,TabICLv2,91-180,0,,,,,,,,
2,2021,TabPFN,1-7,0,,,,,,,,
2,2021,TabPFN,181-270,0,,,,,,,,
2,2021,TabPFN,271-365,0,,,,,,,,
2,2021,TabPFN,31-90,0,,,,,,,,
2,2021,TabPFN,8-30,0,,,,,,,,
2,2021,TabPFN,91-180,0,,,,,,,,
2,2021,XGB,1-7,0,,,,,,,,
2,2021,XGB,181-270,0,,,,,,,,
2,2021,XGB,271-365,0,,,,,,,,
2,2021,XGB,31-90,0,,,,,,,,
2,2021,XGB,8-30,0,,,,,,,,
2,2021,XGB,91-180,0,,,,,,,,
2,2022,DLinear,1-7,0,,,,,,,,
2,2022,DLinear,181-270,0,,,,,,,,
2,2022,DLinear,271-365,0,,,,,,,,
2,2022,DLinear,31-90,0,,,,,,,,
2,2022,DLinear,8-30,0,,,,,,,,
2,2022,DLinear,91-180,0,,,,,,,,
2,2022,Ensemble_MASEweighted,1-7,0,,,,,,,,
2,2022,Ensemble_MASEweighted,181-270,0,,,,,,,,
2,2022,Ensemble_MASEweighted,271-365,0,,,,,,,,
2,2022,Ensemble_MASEweighted,31-90,0,,,,,,,,
2,2022,Ensemble_MASEweighted,8-30,0,,,,,,,,
2,2022,Ensemble_MASEweighted,91-180,0,,,,,,,,
2,2022,Ensemble_unweighted,1-7,0,,,,,,,,
2,2022,Ensemble_unweighted,181-270,0,,,,,,,,
