bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
31-90,0,,,,,,,RF,2018,9,A_removal
91-180,0,,,,,,,RF,2018,9,A_removal
181-270,0,,,,,,,RF,2018,9,A_removal
271-365,0,,,,,,,RF,2018,9,A_removal
1-7,0,,,,,,,XGB,2018,9,A_removal
8-30,0,,,,,,,XGB,2018,9,A_removal
31-90,0,,,,,,,XGB,2018,9,A_removal
91-180,0,,,,,,,XGB,2018,9,A_removal
181-270,0,,,,,,,XGB,2018,9,A_removal
271-365,0,,,,,,,XGB,2018,9,A_removal
1-7,0,,,,,,,LightGBM,2018,9,A_removal
8-30,0,,,,,,,LightGBM,2018,9,A_removal
31-90,0,,,,,,,LightGBM,2018,9,A_removal
91-180,0,,,,,,,LightGBM,2018,9,A_removal
181-270,0,,,,,,,LightGBM,2018,9,A_removal
271-365,0,,,,,,,LightGBM,2018,9,A_removal
1-7,0,,,,,,,SARIMAX,2018,9,A_removal
8-30,0,,,,,,,SARIMAX,2018,9,A_removal
31-90,0,,,,,,,SARIMAX,2018,9,A_removal
91-180,0,,,,,,,SARIMAX,2018,9,A_removal
181-270,0,,,,,,,SARIMAX,2018,9,A_removal
271-365,0,,,,,,,SARIMAX,2018,9,A_removal
1-7,0,,,,,,,Ensemble_unweighted,2018,9,A_removal
8-30,0,,,,,,,Ensemble_unweighted,2018,9,A_removal
31-90,0,,,,,,,Ensemble_unweighted,2018,9,A_removal
91-180,0,,,,,,,Ensemble_unweighted,2018,9,A_removal
181-270,0,,,,,,,Ensemble_unweighted,2018,9,A_removal
271-365,0,,,,,,,Ensemble_unweighted,2018,9,A_removal
1-7,0,,,,,,,Ensemble_MASEweighted,2018,9,A_removal
8-30,0,,,,,,,Ensemble_MASEweighted,2018,9,A_removal
31-90,0,,,,,,,Ensemble_MASEweighted,2018,9,A_removal
91-180,0,,,,,,,Ensemble_MASEweighted,2018,9,A_removal
181-270,0,,,,,,,Ensemble_MASEweighted,2018,9,A_removal
271-365,0,,,,,,,Ensemble_MASEweighted,2018,9,A_removal
1-7,0,,,,,,,RF,2018,9,B_resample
8-30,0,,,,,,,RF,2018,9,B_resample
31-90,0,,,,,,,RF,2018,9,B_resample
91-180,0,,,,,,,RF,2018,9,B_resample
181-270,0,,,,,,,RF,2018,9,B_resample
271-365,0,,,,,,,RF,2018,9,B_resample
1-7,0,,,,,,,XGB,2018,9,B_resample
8-30,0,,,,,,,XGB,2018,9,B_resample
31-90,0,,,,,,,XGB,2018,9,B_resample
91-180,0,,,,,,,XGB,2018,9,B_resample
181-270,0,,,,,,,XGB,2018,9,B_resample
271-365,0,,,,,,,XGB,2018,9,B_resample
1-7,0,,,,,,,LightGBM,2018,9,B_resample
8-30,0,,,,,,,LightGBM,2018,9,B_resample
31-90,0,,,,,,,LightGBM,2018,9,B_resample
91-180,0,,,,,,,LightGBM,2018,9,B_resample
181-270,0,,,,,,,LightGBM,2018,9,B_resample
271-365,0,,,,,,,LightGBM,2018,9,B_resample
1-7,0,,,,,,,SARIMAX,2018,9,B_resample
8-30,0,,,,,,,SARIMAX,2018,9,B_resample
31-90,0,,,,,,,SARIMAX,2018,9,B_resample
91-180,0,,,,,,,SARIMAX,2018,9,B_resample
181-270,0,,,,,,,SARIMAX,2018,9,B_resample
271-365,0,,,,,,,SARIMAX,2018,9,B_resample
1-7,0,,,,,,,Ensemble_unweighted,2018,9,B_resample
8-30,0,,,,,,,Ensemble_unweighted,2018,9,B_resample
31-90,0,,,,,,,Ensemble_unweighted,2018,9,B_resample
91-180,0,,,,,,,Ensemble_unweighted,2018,9,B_resample
181-270,0,,,,,,,Ensemble_unweighted,2018,9,B_resample
271-365,0,,,,,,,Ensemble_unweighted,2018,9,B_resample
1-7,0,,,,,,,Ensemble_MASEweighted,2018,9,B_resample
8-30,0,,,,,,,Ensemble_MASEweighted,2018,9,B_resample
31-90,0,,,,,,,Ensemble_MASEweighted,2018,9,B_resample
91-180,0,,,,,,,Ensemble_MASEweighted,2018,9,B_resample
181-270,0,,,,,,,Ensemble_MASEweighted,2018,9,B_resample
271-365,0,,,,,,,Ensemble_MASEweighted,2018,9,B_resample
1-7,0,,,,,,,RF,2019,2,A_removal
8-30,0,,,,,,,RF,2019,2,A_removal
31-90,0,,,,,,,RF,2019,2,A_removal
91-180,0,,,,,,,RF,2019,2,A_removal
181-270,0,,,,,,,RF,2019,2,A_removal
271-365,0,,,,,,,RF,2019,2,A_removal
1-7,0,,,,,,,XGB,2019,2,A_removal
8-30,0,,,,,,,XGB,2019,2,A_removal
31-90,0,,,,,,,XGB,2019,2,A_removal
91-180,0,,,,,,,XGB,2019,2,A_removal
181-270,0,,,,,,,XGB,2019,2,A_removal
271-365,0,,,,,,,XGB,2019,2,A_removal
1-7,0,,,,,,,LightGBM,2019,2,A_removal
8-30,0,,,,,,,LightGBM,2019,2,A_removal
31-90,0,,,,,,,LightGBM,2019,2,A_removal
91-180,0,,,,,,,LightGBM,2019,2,A_removal
181-270,0,,,,,,,LightGBM,2019,2,A_removal
271-365,0,,,,,,,LightGBM,2019,2,A_removal
1-7,0,,,,,,,SARIMAX,2019,2,A_removal
8-30,0,,,,,,,SARIMAX,2019,2,A_removal
31-90,0,,,,,,,SARIMAX,2019,2,A_removal
91-180,0,,,,,,,SARIMAX,2019,2,A_removal
181-270,0,,,,,,,SARIMAX,2019,2,A_removal
271-365,0,,,,,,,SARIMAX,2019,2,A_removal
1-7,0,,,,,,,Ensemble_unweighted,2019,2,A_removal
8-30,0,,,,,,,Ensemble_unweighted,2019,2,A_removal
31-90,0,,,,,,,Ensemble_unweighted,2019,2,A_removal
91-180,0,,,,,,,Ensemble_unweighted,2019,2,A_removal
181-270,0,,,,,,,Ensemble_unweighted,2019,2,A_removal
271-365,0,,,,,,,Ensemble_unweighted,2019,2,A_removal
1-7,0,,,,,,,Ensemble_MASEweighted,2019,2,A_removal
8-30,0,,,,,,,Ensemble_MASEweighted,2019,2,A_removal
31-90,0,,,,,,,Ensemble_MASEweighted,2019,2,A_removal
91-180,0,,,,,,,Ensemble_MASEweighted,2019,2,A_removal
181-270,0,,,,,,,Ensemble_MASEweighted,2019,2,A_removal
271-365,0,,,,,,,Ensemble_MASEweighted,2019,2,A_removal
1-7,0,,,,,,,RF,2019,2,B_resample
8-30,0,,,,,,,RF,2019,2,B_resample
31-90,0,,,,,,,RF,2019,2,B_resample
91-180,0,,,,,,,RF,2019,2,B_resample
181-270,0,,,,,,,RF,2019,2,B_resample
271-365,0,,,,,,,RF,2019,2,B_resample
1-7,0,,,,,,,XGB,2019,2,B_resample
8-30,0,,,,,,,XGB,2019,2,B_resample
31-90,0,,,,,,,XGB,2019,2,B_resample
91-180,0,,,,,,,XGB,2019,2,B_resample
181-270,0,,,,,,,XGB,2019,2,B_resample
271-365,0,,,,,,,XGB,2019,2,B_resample
1-7,0,,,,,,,LightGBM,2019,2,B_resample
8-30,0,,,,,,,LightGBM,2019,2,B_resample
31-90,0,,,,,,,LightGBM,2019,2,B_resample
91-180,0,,,,,,,LightGBM,2019,2,B_resample
181-270,0,,,,,,,LightGBM,2019,2,B_resample
271-365,0,,,,,,,LightGBM,2019,2,B_resample
1-7,0,,,,,,,SARIMAX,2019,2,B_resample
8-30,0,,,,,,,SARIMAX,2019,2,B_resample
31-90,0,,,,,,,SARIMAX,2019,2,B_resample
91-180,0,,,,,,,SARIMAX,2019,2,B_resample
181-270,0,,,,,,,SARIMAX,2019,2,B_resample
271-365,0,,,,,,,SARIMAX,2019,2,B_resample
1-7,0,,,,,,,Ensemble_unweighted,2019,2,B_resample
8-30,0,,,,,,,Ensemble_unweighted,2019,2,B_resample
31-90,0,,,,,,,Ensemble_unweighted,2019,2,B_resample
91-180,0,,,,,,,Ensemble_unweighted,2019,2,B_resample
181-270,0,,,,,,,Ensemble_unweighted,2019,2,B_resample
271-365,0,,,,,,,Ensemble_unweighted,2019,2,B_resample
1-7,0,,,,,,,Ensemble_MASEweighted,2019,2,B_resample
8-30,0,,,,,,,Ensemble_MASEweighted,2019,2,B_resample
31-90,0,,,,,,,Ensemble_MASEweighted,2019,2,B_resample
91-180,0,,,,,,,Ensemble_MASEweighted,2019,2,B_resample
181-270,0,,,,,,,Ensemble_MASEweighted,2019,2,B_resample
271-365,0,,,,,,,Ensemble_MASEweighted,2019,2,B_resample
1-7,0,,,,,,,RF,2019,4,A_removal
8-30,8,-2.842,64.948,55.083,1.4404,1.439,-0.249,RF,2019,4,A_removal
31-90,32,-0.116,23.68,17.66,0.807,0.8085,0.216,RF,2019,4,A_removal
91-180,62,0.158,80.36,49.846,0.6555,0.6561,0.438,RF,2019,4,A_removal
181-270,61,0.525,24.97,19.394,0.6885,0.6894,0.769,RF,2019,4,A_removal
271-365,66,0.09,50.321,23.839,0.9015,0.9033,0.319,RF,2019,4,A_removal
1-7,0,,,,,,,XGB,2019,4,A_removal
8-30,8,-2.399,61.082,49.987,1.3071,1.3059,-0.458,XGB,2019,4,A_removal
