bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant
271-365,91,0.197,29.293,19.472,0.9347,0.8773,0.471,TabICLv2,2021,4,B_resample
1-7,1,,,,,,,TabPFN,2021,9,A_removal
8-30,12,-0.048,18.762,13.212,0.5274,0.9619,-0.158,TabPFN,2021,9,A_removal
31-90,35,-0.033,15.613,9.327,0.3878,0.9139,0.346,TabPFN,2021,9,A_removal
91-180,85,-0.071,105.668,62.727,0.8112,0.6815,0.537,TabPFN,2021,9,A_removal
181-270,47,-0.239,69.29,46.95,1.0082,0.7279,0.418,TabPFN,2021,9,A_removal
271-365,0,,,,,,,TabPFN,2021,9,A_removal
1-7,1,,,,,,,TabICLv2,2021,9,A_removal
8-30,12,-0.131,19.494,15.226,0.6078,1.1085,-0.267,TabICLv2,2021,9,A_removal
31-90,35,0.036,15.085,9.212,0.3831,0.9027,0.293,TabICLv2,2021,9,A_removal
91-180,85,-0.37,119.495,74.943,0.9692,0.8143,0.267,TabICLv2,2021,9,A_removal
181-270,47,-0.253,69.662,47.549,1.021,0.7372,0.466,TabICLv2,2021,9,A_removal
271-365,0,,,,,,,TabICLv2,2021,9,A_removal
1-7,1,,,,,,,TabPFN,2021,9,B_resample
8-30,12,-0.031,18.612,13.691,0.5465,0.9968,-0.161,TabPFN,2021,9,B_resample
31-90,35,-0.06,15.818,9.74,0.405,0.9544,-0.393,TabPFN,2021,9,B_resample
91-180,85,-0.141,109.035,65.395,0.8457,0.7105,0.54,TabPFN,2021,9,B_resample
181-270,47,-0.504,76.342,54.801,1.1767,0.8496,0.252,TabPFN,2021,9,B_resample
271-365,0,,,,,,,TabPFN,2021,9,B_resample
1-7,1,,,,,,,TabICLv2,2021,9,B_resample
8-30,12,0.027,18.078,13.652,0.5449,0.9939,0.169,TabICLv2,2021,9,B_resample
31-90,35,-0.16,16.545,9.479,0.3941,0.9289,0.332,TabICLv2,2021,9,B_resample
91-180,85,-0.215,112.502,70.087,0.9064,0.7615,0.386,TabICLv2,2021,9,B_resample
181-270,47,-0.28,70.42,47.872,1.0279,0.7422,0.453,TabICLv2,2021,9,B_resample
271-365,0,,,,,,,TabICLv2,2021,9,B_resample
1-7,0,,,,,,,TabPFN,2022,2,A_removal
8-30,0,,,,,,,TabPFN,2022,2,A_removal
31-90,0,,,,,,,TabPFN,2022,2,A_removal
91-180,0,,,,,,,TabPFN,2022,2,A_removal
181-270,0,,,,,,,TabPFN,2022,2,A_removal
271-365,0,,,,,,,TabPFN,2022,2,A_removal
1-7,0,,,,,,,TabICLv2,2022,2,A_removal
8-30,0,,,,,,,TabICLv2,2022,2,A_removal
31-90,0,,,,,,,TabICLv2,2022,2,A_removal
91-180,0,,,,,,,TabICLv2,2022,2,A_removal
181-270,0,,,,,,,TabICLv2,2022,2,A_removal
271-365,0,,,,,,,TabICLv2,2022,2,A_removal
1-7,0,,,,,,,TabPFN,2022,2,B_resample
8-30,0,,,,,,,TabPFN,2022,2,B_resample
31-90,0,,,,,,,TabPFN,2022,2,B_resample
91-180,0,,,,,,,TabPFN,2022,2,B_resample
181-270,0,,,,,,,TabPFN,2022,2,B_resample
271-365,0,,,,,,,TabPFN,2022,2,B_resample
1-7,0,,,,,,,TabICLv2,2022,2,B_resample
8-30,0,,,,,,,TabICLv2,2022,2,B_resample
31-90,0,,,,,,,TabICLv2,2022,2,B_resample
91-180,0,,,,,,,TabICLv2,2022,2,B_resample
181-270,0,,,,,,,TabICLv2,2022,2,B_resample
271-365,0,,,,,,,TabICLv2,2022,2,B_resample
1-7,0,,,,,,,TabPFN,2022,4,A_removal
8-30,0,,,,,,,TabPFN,2022,4,A_removal
31-90,1,,,,,,,TabPFN,2022,4,A_removal
91-180,75,0.18,30.143,19.836,0.9147,0.9896,0.608,TabPFN,2022,4,A_removal
181-270,74,0.164,53.633,30.086,0.8455,0.8759,0.503,TabPFN,2022,4,A_removal
271-365,74,0.087,31.445,20.959,0.9268,0.9909,0.429,TabPFN,2022,4,A_removal
1-7,0,,,,,,,TabICLv2,2022,4,A_removal
8-30,0,,,,,,,TabICLv2,2022,4,A_removal
31-90,1,,,,,,,TabICLv2,2022,4,A_removal
91-180,75,0.101,31.552,21.77,1.0039,1.0861,0.425,TabICLv2,2022,4,A_removal
181-270,74,0.17,53.459,32.025,0.9,0.9323,0.475,TabICLv2,2022,4,A_removal
271-365,74,0.115,30.959,20.938,0.9259,0.9899,0.384,TabICLv2,2022,4,A_removal
1-7,0,,,,,,,TabPFN,2022,4,B_resample
8-30,0,,,,,,,TabPFN,2022,4,B_resample
31-90,1,,,,,,,TabPFN,2022,4,B_resample
91-180,75,0.192,29.905,19.524,0.9003,0.9741,0.628,TabPFN,2022,4,B_resample
181-270,74,0.173,53.355,29.72,0.8352,0.8652,0.505,TabPFN,2022,4,B_resample
271-365,74,0.087,31.452,20.929,0.9255,0.9895,0.403,TabPFN,2022,4,B_resample
1-7,0,,,,,,,TabICLv2,2022,4,B_resample
8-30,0,,,,,,,TabICLv2,2022,4,B_resample
31-90,1,,,,,,,TabICLv2,2022,4,B_resample
91-180,75,0.082,31.894,20.799,0.9591,1.0377,0.388,TabICLv2,2022,4,B_resample
181-270,74,0.149,54.111,29.431,0.8271,0.8569,0.502,TabICLv2,2022,4,B_resample
271-365,74,0.109,31.074,20.86,0.9225,0.9862,0.415,TabICLv2,2022,4,B_resample
1-7,0,,,,,,,TabPFN,2022,9,A_removal
8-30,0,,,,,,,TabPFN,2022,9,A_removal
31-90,14,-0.014,15.125,11.996,0.9372,0.969,-0.157,TabPFN,2022,9,A_removal
91-180,84,0.025,18.407,13.406,0.8726,0.9048,0.174,TabPFN,2022,9,A_removal
181-270,84,0.247,41.684,33.469,0.8862,0.8973,0.56,TabPFN,2022,9,A_removal
271-365,89,0.086,46.325,26.744,0.8836,0.9008,0.362,TabPFN,2022,9,A_removal
1-7,0,,,,,,,TabICLv2,2022,9,A_removal
8-30,0,,,,,,,TabICLv2,2022,9,A_removal
31-90,14,-0.022,15.187,12.01,0.9383,0.9701,0.046,TabICLv2,2022,9,A_removal
91-180,84,-0.18,20.253,15.305,0.9962,1.033,0.086,TabICLv2,2022,9,A_removal
181-270,84,-0.245,53.596,41.428,1.0969,1.1107,0.327,TabICLv2,2022,9,A_removal
271-365,89,0.073,46.651,28.115,0.9289,0.9469,0.303,TabICLv2,2022,9,A_removal
1-7,0,,,,,,,TabPFN,2022,9,B_resample
8-30,0,,,,,,,TabPFN,2022,9,B_resample
31-90,14,-0.026,15.21,12.088,0.9444,0.9765,-0.242,TabPFN,2022,9,B_resample
