date,BASE+ALL__RF,BASE+ALL__XGB,BASE+ALL__LightGBM,BASE+ALL__SARIMAX,BASE+ALL__Ensemble_unweighted,BASE+ALL__Ensemble_MASEweighted,y_true,y_gapfilled,persistence,tower,anchor_year,config
2019-01-23,13.17217616380273,9.501093864440918,10.627211576090128,26.01969027617039,14.83004297012604,14.669490143977933,1.5778612148928572,3.477591666666666,54.91721666666666,2,2018,BASE+ALL
2019-01-24,13.321873586850632,9.557120323181152,10.615869100442296,34.09459784758749,16.89736521451539,16.664672600188194,,13.412779166666668,54.91721666666666,2,2018,BASE+ALL
2019-01-25,13.601399125280961,8.946113586425781,10.253142549971338,24.17191014037957,14.243141350514414,14.089643150940303,4.680099354454547,5.937991666666666,54.91721666666666,2,2018,BASE+ALL
2019-01-26,26.335740080695885,26.18605613708496,19.04605594922534,30.005902822746226,25.3934387474381,25.316471359752246,-0.1596002495,8.154216666666667,54.91721666666666,2,2018,BASE+ALL
2019-01-27,30.490297787642092,28.97894287109375,20.990913780714823,28.657789486916183,27.279485981591712,27.226678693188756,5.2462252687,14.440466666666666,54.91721666666666,2,2018,BASE+ALL
2019-01-28,16.9311680914621,14.46176528930664,12.119742316115424,31.633695311538258,18.786592752105605,18.606447661455185,2.2563893023,5.128345833333333,54.91721666666666,2,2018,BASE+ALL
2019-01-29,16.28251694923367,12.512547492980957,11.739317667612468,32.52453489262867,18.26472925061394,18.06137071097921,10.0498731726875,9.319275,54.91721666666666,2,2018,BASE+ALL
2019-01-30,21.856584362450167,16.493532180786133,15.045588866625824,33.874160825855505,21.817466558929404,21.62459259507247,15.474247531375,13.059829166666669,54.91721666666666,2,2018,BASE+ALL
2019-01-31,22.636771481647944,16.879457473754883,14.870390714771943,35.586354524094865,22.493243548567406,22.2830717486462,0.4904963130500012,6.3016125,54.91721666666666,2,2018,BASE+ALL
2019-02-01,23.43434492960737,14.396316528320312,13.136077141172414,34.58044451052003,21.386795777405034,21.149608538399114,8.4084680965,7.477216666666667,54.91721666666666,2,2018,BASE+ALL
2019-02-02,21.64197759109236,12.112391471862793,12.965978930373666,32.67914853070625,19.849874131008768,19.61903866521865,2.5245367430714287,4.454875,54.91721666666666,2,2018,BASE+ALL
2019-02-03,22.82122423215847,14.593352317810059,14.773333681778038,34.05374333790918,21.56041339241394,21.342691921727837,37.99870940657692,30.64916666666667,54.91721666666666,2,2018,BASE+ALL
2019-02-04,30.985389202056705,20.748254776000977,19.228912469584316,45.38759713009261,29.08753839443365,28.802554497452043,2.751413063416667,42.05817916666667,54.91721666666666,2,2018,BASE+ALL
2019-02-05,23.75472562930834,15.145661354064941,16.229474463244696,34.15478378207696,22.321161307173735,22.11066156784547,13.844363808277778,14.795058333333335,54.91721666666666,2,2018,BASE+ALL
2019-02-06,23.027928591807484,16.99875259399414,15.511166260807471,33.88908339296652,22.356732709893905,22.164258743731352,4.802799604607143,9.7471375,54.91721666666666,2,2018,BASE+ALL
2019-02-07,35.460078295343024,24.67218589782715,24.317286198931836,31.775711925623792,29.056315579431452,28.93088065577229,8.550348829666666,81.27637916666667,54.91721666666666,2,2018,BASE+ALL
2019-02-08,37.24226986470291,45.34002685546875,37.561640190355945,41.67939660989033,40.45583338010448,40.487589311674995,10.0407205624375,99.99124166666668,54.91721666666666,2,2018,BASE+ALL
2019-02-09,34.68907403060455,28.227758407592773,29.795222007484718,31.914146358466663,31.156550201037177,31.096990604081775,4.558041702222223,42.32086666666667,54.91721666666666,2,2018,BASE+ALL
2019-02-10,35.99977544930743,29.69546127319336,30.387168860781056,32.485280188455214,32.14192144293427,32.086024621868305,-13.936746767458336,6.174041666666668,54.91721666666666,2,2018,BASE+ALL
2019-02-11,19.9848202828202,16.916709899902344,19.19097176133551,33.45386795061037,22.386592473667108,22.236029197184536,3.574882973166667,11.252024999999998,54.91721666666666,2,2018,BASE+ALL
2019-02-12,18.09890540985838,15.033489227294922,16.283103990277517,34.98745978980356,21.100739604308593,20.913788586821703,7.3720592872,11.42425,54.91721666666666,2,2018,BASE+ALL
2019-02-13,17.61973614127461,14.015722274780273,14.457538272605381,38.10773851858178,21.050183801810512,20.818698356529847,17.668619972,15.229354166666669,54.91721666666666,2,2018,BASE+ALL
2019-02-14,17.408869437046963,13.912681579589844,14.254152233783207,34.69917463332499,20.06871947093625,19.86660052997105,,9.924945833333334,54.91721666666666,2,2018,BASE+ALL
2019-02-15,17.461836881622556,13.570551872253418,14.219009705886439,39.16770787976304,21.104776584881364,20.859540632146867,,17.54305,54.91721666666666,2,2018,BASE+ALL
2019-02-16,18.267413806428365,15.405219078063965,15.433588966876533,39.10539612474612,22.052904494028745,21.82659804769465,,20.577075,54.91721666666666,2,2018,BASE+ALL
2019-02-17,22.217666781925722,16.85089874267578,17.634781320904793,38.331209694595486,23.758639135025447,23.542526540420795,,26.980966666666664,54.91721666666666,2,2018,BASE+ALL
2019-02-18,17.6841896018852,12.744409561157227,15.917054560800224,38.56049873208809,21.226538113982684,20.988423119406768,,19.49338333333333,54.91721666666666,2,2018,BASE+ALL
2019-02-19,17.3487270518187,12.782267570495605,14.012717155008449,36.51810565292267,20.165454357561355,19.93641897035762,-8.054775097375,9.620433333333333,54.91721666666666,2,2018,BASE+ALL
2019-02-20,19.456008452101177,15.36776065826416,15.780948911405572,43.06778923716785,23.41812681473469,23.15172380617558,,28.917179166666667,54.91721666666666,2,2018,BASE+ALL
2019-02-21,17.535361507895757,13.174301147460938,14.314256051663866,42.9783001797935,22.000554721703516,21.718238103122218,14.482375459785716,24.851904166666667,54.91721666666666,2,2018,BASE+ALL
2019-02-22,17.194078358479786,12.850313186645508,15.09321285176353,33.57736803345724,19.678743107586516,19.48365826398721,,18.7001375,54.91721666666666,2,2018,BASE+ALL
2019-02-23,16.357074415103643,13.4917631149292,14.860644485255323,39.445876929765205,21.03883973626334,20.800421952439663,,20.1319375,54.91721666666666,2,2018,BASE+ALL
2019-02-24,16.493649317966927,11.877092361450195,13.687566031357765,37.8829737156373,19.985320356603047,19.73927280189781,16.341520738,19.9438875,54.91721666666666,2,2018,BASE+ALL
2019-02-25,16.695530951781596,12.147990226745605,14.584022085173439,42.82390842759035,21.562862922822745,21.27942242553725,34.227751317312496,28.408058333333333,54.91721666666666,2,2018,BASE+ALL
