ssp,gcm,realization,tower,year,multiplier,model,annual_mean
ssp245,ACCESS-ESM1-5,1,2,2036,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2036,3.0,Ensemble_unweighted,22.48834885009814
ssp245,ACCESS-ESM1-5,1,2,2036,3.0,Ensemble_MASEweighted,22.463276864940866
ssp245,ACCESS-ESM1-5,1,2,2037,1.0,RF,20.114257782527783
ssp245,ACCESS-ESM1-5,1,2,2037,1.0,XGB,18.78234523616425
ssp245,ACCESS-ESM1-5,1,2,2037,1.0,LightGBM,18.926100148822385
ssp245,ACCESS-ESM1-5,1,2,2037,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2037,1.0,Ensemble_unweighted,18.62989478745389
ssp245,ACCESS-ESM1-5,1,2,2037,1.0,Ensemble_MASEweighted,18.641827856597697
ssp245,ACCESS-ESM1-5,1,2,2037,2.0,RF,21.130392845498214
ssp245,ACCESS-ESM1-5,1,2,2037,2.0,XGB,20.890130466304413
ssp245,ACCESS-ESM1-5,1,2,2037,2.0,LightGBM,21.25063068983866
ssp245,ACCESS-ESM1-5,1,2,2037,2.0,SARIMAX,20.72226513372373
ssp245,ACCESS-ESM1-5,1,2,2037,2.0,Ensemble_unweighted,20.998354783841254
ssp245,ACCESS-ESM1-5,1,2,2037,2.0,Ensemble_MASEweighted,21.000634830485268
ssp245,ACCESS-ESM1-5,1,2,2037,3.0,RF,21.60051642748763
ssp245,ACCESS-ESM1-5,1,2,2037,3.0,XGB,21.40064620710399
ssp245,ACCESS-ESM1-5,1,2,2037,3.0,LightGBM,22.02717780938416
ssp245,ACCESS-ESM1-5,1,2,2037,3.0,SARIMAX,24.74765428514633
ssp245,ACCESS-ESM1-5,1,2,2037,3.0,Ensemble_unweighted,22.443998682280522
ssp245,ACCESS-ESM1-5,1,2,2037,3.0,Ensemble_MASEweighted,22.41686008785678
ssp245,ACCESS-ESM1-5,1,2,2038,1.0,RF,20.211388342664616
ssp245,ACCESS-ESM1-5,1,2,2038,1.0,XGB,19.0118057015824
ssp245,ACCESS-ESM1-5,1,2,2038,1.0,LightGBM,19.10531628586046
ssp245,ACCESS-ESM1-5,1,2,2038,1.0,SARIMAX,16.69687598230113
ssp245,ACCESS-ESM1-5,1,2,2038,1.0,Ensemble_unweighted,18.756346578102153
ssp245,ACCESS-ESM1-5,1,2,2038,1.0,Ensemble_MASEweighted,18.770759594766528
ssp245,ACCESS-ESM1-5,1,2,2038,2.0,RF,21.211287140003463
ssp245,ACCESS-ESM1-5,1,2,2038,2.0,XGB,21.11858825422313
ssp245,ACCESS-ESM1-5,1,2,2038,2.0,LightGBM,21.43823777680087
