model,ssp,gcm,realization,tower,year,multiplier,aoa_flagged_pct
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2038,2.0,10.136986301369863
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2038,3.0,10.136986301369863
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2039,1.0,9.04109589041096
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2039,2.0,9.04109589041096
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2039,3.0,9.315068493150685
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2040,1.0,8.767123287671232
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2040,2.0,8.767123287671232
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2040,3.0,8.767123287671232
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2041,1.0,8.493150684931507
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2041,2.0,8.767123287671232
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2041,3.0,8.767123287671232
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2042,1.0,12.054794520547945
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2042,2.0,12.602739726027398
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2042,3.0,12.876712328767123
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2043,1.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2043,2.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2043,3.0,7.9452054794520555
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2044,1.0,10.41095890410959
PrimaryHybrid,ssp245,ACCESS-ESM1-5,2,2,2044,2.0,10.684931506849315
