anchor_year,eval_tower,model,bin,n,raw_picp,raw_mpiw,raw_pinball,conformal_picp,conformal_mpiw,conformal_pinball,conformal_margin
2019,9,SARIMAX,271-365,49,0.8979591836734694,369.78207514435917,19.916232793691105,0.8367346938775511,141.82004100120787,20.548570587201066,70.91002050060393
2020,9,SARIMAX,1-7,4,1.0,100.3408537051483,5.2546085328701615,0.0,12.989840898240487,8.798306778616995,6.494920449120244
2020,9,SARIMAX,8-30,19,0.8947368421052632,110.99784094625363,24.776763006320284,0.8947368421052632,131.9097740492785,24.75930652296873,65.95488702463925
2020,9,SARIMAX,31-90,24,1.0,112.45140862290161,4.311044699140679,0.9166666666666666,78.79464226207766,3.8858696857928954,39.39732113103883
2020,9,SARIMAX,91-180,57,0.9649122807017544,112.76245540322793,4.591910607355295,1.0,174.30212963143012,5.4683450256926305,87.15106481571506
2020,9,SARIMAX,181-270,64,0.65625,113.07508113880404,18.829475243808727,0.8125,180.41368914775518,17.323663737943384,90.2068445738776
2020,9,SARIMAX,271-365,86,0.8488372093023255,113.38059315419984,9.871392208884897,0.9069767441860465,162.0931558755977,9.752186290022303,81.04657793779884
2021,9,SARIMAX,8-30,12,0.9166666666666666,132.3093853749758,6.339783958809542,1.0,413.1545052594922,10.962393069486035,206.57725262974614
2021,9,SARIMAX,31-90,35,0.9714285714285714,161.7683346068499,6.7491174731592585,0.8857142857142857,74.9791570618958,6.178712655306264,37.4895785309479
2021,9,SARIMAX,91-180,85,0.8588235294117647,214.14578185849993,18.99546844375084,0.7058823529411765,120.74083059725375,21.1454795390049,60.3704152986269
2021,9,SARIMAX,181-270,47,0.9148936170212766,252.14389471147192,13.283919599598141,0.8085106382978723,182.19862789408984,13.442326856406993,91.09931394704495
2022,9,SARIMAX,31-90,14,1.0,166.91977057284518,6.29277309588286,1.0,79.19072412387504,4.830622321733357,39.59536206193752
2022,9,SARIMAX,91-180,84,1.0,195.35926615391418,5.939767203444906,1.0,182.47778539571078,5.725075857474849,91.23889269785538
2022,9,SARIMAX,181-270,84,1.0,236.86592654393377,10.456710502630711,1.0,232.21766956561873,10.379239552992125,116.10883478280932
2022,9,SARIMAX,271-365,89,0.9887640449438202,273.11042634927963,9.914412420742634,0.9550561797752809,191.70389886806373,8.901758863483764,95.85194943403184
2018,2,Ensemble_unweighted,1-7,6,1.0,68.92205591715872,2.8645038837649017,,,,
2018,2,Ensemble_unweighted,8-30,21,0.9047619047619048,40.71876314545292,2.6962559134253152,,,,
2018,2,Ensemble_unweighted,31-90,32,0.78125,45.147464316708906,3.80572772141849,,,,
2018,2,Ensemble_unweighted,91-180,43,0.32558139534883723,39.796825842698254,8.866274671180305,,,,
2018,4,Ensemble_unweighted,8-30,7,1.0,38.74301191758564,2.355047717913394,1.0,144.17527986318734,4.112252183673424,72.08763993159366
2018,4,Ensemble_unweighted,31-90,33,0.8787878787878788,48.18580892317703,3.0096750789367626,1.0,87.40728696669433,3.558979902947714,43.70364348334716
2018,4,Ensemble_unweighted,91-180,83,0.8433734939759037,55.63357018673246,4.828613932229453,1.0,146.20355445236154,5.374773956746736,73.10177722618077
2018,4,Ensemble_unweighted,181-270,72,0.5833333333333334,95.96268825301283,18.02219312513621,0.8055555555555556,179.3247843951469,15.978403650472918,89.66239219757344
2018,4,Ensemble_unweighted,271-365,67,0.7910447761194029,82.35621342127389,10.40812302504146,0.9253731343283582,113.81285366011967,10.395420992442858,56.90642683005983
2019,4,Ensemble_unweighted,8-30,8,0.25,55.9891742833856,20.825871227267005,0.375,62.25845497205497,19.468304657652805,31.129227486027485
2019,4,Ensemble_unweighted,31-90,32,0.78125,58.46542949796089,5.065394218787588,0.8125,75.15933543805873,4.70665482252971,37.579667719029366
