bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
1-7,7,-6.715,59.181,49.364,3.3894,1.5187,-0.836,gapfilled,TFT,BASE+species,2018,4
8-30,23,-8.119,35.639,30.141,2.6182,1.8581,-0.279,gapfilled,TFT,BASE+species,2018,4
31-90,60,-2.07,32.822,24.424,1.6749,1.1376,-0.325,gapfilled,TFT,BASE+species,2018,4
91-180,90,-0.554,17.681,13.987,0.9301,1.1389,0.092,gapfilled,TFT,BASE+species,2018,4
181-270,90,-0.597,69.893,50.182,0.9447,0.7501,0.13,gapfilled,TFT,BASE+species,2018,4
271-365,95,-0.037,39.939,26.541,0.988,0.7948,0.419,gapfilled,TFT,BASE+species,2018,4
1-7,1,,,,,,,observed,DLinear,BASE+species,2018,4
8-30,7,-12.723,31.65,23.69,1.5616,3.3876,-0.564,observed,DLinear,BASE+species,2018,4
31-90,33,-18.312,70.46,52.884,3.2197,4.3347,-0.65,observed,DLinear,BASE+species,2018,4
91-180,83,-4.598,45.382,35.622,1.9546,2.8831,0.248,observed,DLinear,BASE+species,2018,4
181-270,72,-0.666,102.905,79.625,1.3033,1.1397,0.171,observed,DLinear,BASE+species,2018,4
271-365,67,-2.256,111.85,83.841,2.7541,2.7279,0.075,observed,DLinear,BASE+species,2018,4
1-7,7,-0.847,28.958,20.237,1.3895,0.6226,-0.186,gapfilled,DLinear,BASE+species,2018,4
8-30,23,-5.743,30.647,25.476,2.213,1.5705,0.617,gapfilled,DLinear,BASE+species,2018,4
31-90,60,-16.482,78.324,58.607,4.0192,2.7297,-0.613,gapfilled,DLinear,BASE+species,2018,4
91-180,90,-9.745,46.491,35.64,2.3699,2.902,0.136,gapfilled,DLinear,BASE+species,2018,4
181-270,90,-2.01,95.946,74.896,1.4099,1.1196,0.116,gapfilled,DLinear,BASE+species,2018,4
271-365,95,-5.684,101.408,86.045,3.2031,2.5766,0.28,gapfilled,DLinear,BASE+species,2018,4
1-7,1,,,,,,,observed,LSTM,BASE+species,2018,4
8-30,7,-1.746,14.158,10.155,0.6694,1.4521,-0.449,observed,LSTM,BASE+species,2018,4
31-90,33,-0.271,18.077,12.265,0.7467,1.0053,0.112,observed,LSTM,BASE+species,2018,4
91-180,83,-0.281,21.708,14.158,0.7769,1.1459,0.025,observed,LSTM,BASE+species,2018,4
181-270,72,-0.616,101.334,70.977,1.1617,1.0159,0.125,observed,LSTM,BASE+species,2018,4
271-365,67,-0.069,64.095,28.439,0.9342,0.9253,0.204,observed,LSTM,BASE+species,2018,4
1-7,7,-1.136,31.138,20.604,1.4147,0.6339,-0.477,gapfilled,LSTM,BASE+species,2018,4
8-30,23,-0.728,15.513,12.883,1.1191,0.7942,0.576,gapfilled,LSTM,BASE+species,2018,4
31-90,60,-0.925,25.992,18.97,1.3009,0.8835,-0.072,gapfilled,LSTM,BASE+species,2018,4
