bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,config,anchor_year,tower
181-270,0,,,,,,,XGB,BASE+ALL,2020,2
271-365,0,,,,,,,XGB,BASE+ALL,2020,2
1-7,0,,,,,,,LightGBM,BASE+ALL,2020,2
8-30,0,,,,,,,LightGBM,BASE+ALL,2020,2
31-90,0,,,,,,,LightGBM,BASE+ALL,2020,2
91-180,0,,,,,,,LightGBM,BASE+ALL,2020,2
181-270,0,,,,,,,LightGBM,BASE+ALL,2020,2
271-365,0,,,,,,,LightGBM,BASE+ALL,2020,2
1-7,0,,,,,,,SARIMAX,BASE+ALL,2020,2
8-30,0,,,,,,,SARIMAX,BASE+ALL,2020,2
31-90,0,,,,,,,SARIMAX,BASE+ALL,2020,2
91-180,0,,,,,,,SARIMAX,BASE+ALL,2020,2
181-270,0,,,,,,,SARIMAX,BASE+ALL,2020,2
271-365,0,,,,,,,SARIMAX,BASE+ALL,2020,2
1-7,0,,,,,,,Ensemble_unweighted,BASE+ALL,2020,2
8-30,0,,,,,,,Ensemble_unweighted,BASE+ALL,2020,2
31-90,0,,,,,,,Ensemble_unweighted,BASE+ALL,2020,2
91-180,0,,,,,,,Ensemble_unweighted,BASE+ALL,2020,2
181-270,0,,,,,,,Ensemble_unweighted,BASE+ALL,2020,2
271-365,0,,,,,,,Ensemble_unweighted,BASE+ALL,2020,2
1-7,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2020,2
8-30,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2020,2
31-90,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2020,2
91-180,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2020,2
181-270,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2020,2
271-365,0,,,,,,,Ensemble_MASEweighted,BASE+ALL,2020,2
1-7,4,-5.042,18.529,16.819,1.4944,1.8973,0.363,RF,BASE+ALL,2020,4
8-30,21,-1.058,21.146,18.296,1.4476,1.5947,0.21,RF,BASE+ALL,2020,4
31-90,37,-0.085,45.753,31.276,1.1837,1.0784,-0.076,RF,BASE+ALL,2020,4
91-180,42,-0.037,21.336,16.974,1.0042,0.8082,0.184,RF,BASE+ALL,2020,4
181-270,79,0.118,76.913,49.941,0.9795,0.8195,0.357,RF,BASE+ALL,2020,4
271-365,80,0.209,88.768,36.234,0.924,0.84,0.531,RF,BASE+ALL,2020,4
1-7,4,-6.544,20.705,19.226,1.7083,2.1688,0.415,XGB,BASE+ALL,2020,4
8-30,21,-0.45,17.748,13.376,1.0584,1.1659,0.168,XGB,BASE+ALL,2020,4
31-90,37,-0.145,47.002,31.482,1.1915,1.0855,-0.23,XGB,BASE+ALL,2020,4
91-180,42,-0.005,21.007,16.184,0.9574,0.7706,0.182,XGB,BASE+ALL,2020,4
181-270,79,0.112,77.174,47.892,0.9393,0.7859,0.335,XGB,BASE+ALL,2020,4
271-365,80,0.141,92.509,40.154,1.024,0.9309,0.413,XGB,BASE+ALL,2020,4
1-7,4,-5.201,18.771,17.286,1.5359,1.9499,0.387,LightGBM,BASE+ALL,2020,4
8-30,21,-0.349,17.121,12.567,0.9944,1.0954,0.205,LightGBM,BASE+ALL,2020,4
31-90,37,-0.1,46.054,31.189,1.1804,1.0754,-0.13,LightGBM,BASE+ALL,2020,4
91-180,42,-0.085,21.825,17.037,1.0079,0.8112,0.037,LightGBM,BASE+ALL,2020,4
181-270,79,0.108,77.317,47.729,0.9361,0.7832,0.333,LightGBM,BASE+ALL,2020,4
271-365,80,0.134,92.901,39.814,1.0153,0.923,0.411,LightGBM,BASE+ALL,2020,4
1-7,4,-1.436,11.766,9.313,0.8275,1.0506,0.013,SARIMAX,BASE+ALL,2020,4
8-30,21,0.188,13.278,10.243,0.8104,0.8928,0.448,SARIMAX,BASE+ALL,2020,4
31-90,37,-0.057,45.161,26.705,1.0107,0.9208,0.048,SARIMAX,BASE+ALL,2020,4
91-180,42,0.056,20.353,17.311,1.0241,0.8243,0.422,SARIMAX,BASE+ALL,2020,4
181-270,79,0.094,77.915,50.923,0.9988,0.8356,0.317,SARIMAX,BASE+ALL,2020,4
271-365,80,0.123,93.461,40.829,1.0412,0.9465,0.371,SARIMAX,BASE+ALL,2020,4
1-7,4,-4.144,17.097,15.481,1.3756,1.7464,0.371,Ensemble_unweighted,BASE+ALL,2020,4
8-30,21,-0.22,16.283,11.925,0.9436,1.0394,0.274,Ensemble_unweighted,BASE+ALL,2020,4
31-90,37,-0.08,45.639,29.772,1.1268,1.0265,-0.109,Ensemble_unweighted,BASE+ALL,2020,4
91-180,42,0.064,20.269,15.989,0.9459,0.7613,0.287,Ensemble_unweighted,BASE+ALL,2020,4
181-270,79,0.116,76.97,48.596,0.9531,0.7974,0.342,Ensemble_unweighted,BASE+ALL,2020,4
271-365,80,0.157,91.661,38.289,0.9764,0.8876,0.442,Ensemble_unweighted,BASE+ALL,2020,4
1-7,4,-4.196,17.183,15.578,1.3841,1.7572,0.374,Ensemble_MASEweighted,BASE+ALL,2020,4
8-30,21,-0.227,16.327,11.965,0.9467,1.0428,0.271,Ensemble_MASEweighted,BASE+ALL,2020,4
31-90,37,-0.081,45.665,29.826,1.1288,1.0284,-0.112,Ensemble_MASEweighted,BASE+ALL,2020,4
91-180,42,0.062,20.29,15.984,0.9456,0.7611,0.283,Ensemble_MASEweighted,BASE+ALL,2020,4
181-270,79,0.116,76.971,48.567,0.9526,0.7969,0.342,Ensemble_MASEweighted,BASE+ALL,2020,4
271-365,80,0.156,91.681,38.321,0.9773,0.8884,0.442,Ensemble_MASEweighted,BASE+ALL,2020,4
1-7,4,-49.709,26.464,25.882,1.0599,7.9036,0.591,RF,BASE+ALL,2020,9
8-30,19,-0.005,152.32,59.309,0.9625,0.9101,0.284,RF,BASE+ALL,2020,9
31-90,24,-2.45,26.584,22.203,1.0653,1.8262,0.4,RF,BASE+ALL,2020,9
91-180,57,-0.098,21.259,15.745,0.8515,0.8477,0.224,RF,BASE+ALL,2020,9
181-270,64,0.227,84.6,58.246,0.9503,0.86,0.48,RF,BASE+ALL,2020,9
271-365,86,0.152,48.919,29.938,0.8639,0.9095,0.44,RF,BASE+ALL,2020,9
1-7,4,-72.751,31.915,31.476,1.289,9.6119,0.548,XGB,BASE+ALL,2020,9
8-30,19,0.042,148.737,59.725,0.9693,0.9165,0.409,XGB,BASE+ALL,2020,9
31-90,24,-3.717,31.087,24.882,1.1939,2.0466,0.263,XGB,BASE+ALL,2020,9
91-180,57,-0.135,21.621,15.937,0.8618,0.858,0.133,XGB,BASE+ALL,2020,9
181-270,64,0.201,85.965,56.821,0.9271,0.839,0.481,XGB,BASE+ALL,2020,9
271-365,86,0.165,48.554,28.58,0.8248,0.8682,0.439,XGB,BASE+ALL,2020,9
1-7,4,-58.169,28.586,28.013,1.1472,8.5545,0.409,LightGBM,BASE+ALL,2020,9
8-30,19,0.052,147.991,60.015,0.974,0.9209,0.43,LightGBM,BASE+ALL,2020,9
31-90,24,-4.276,32.876,26.384,1.2659,2.1701,0.292,LightGBM,BASE+ALL,2020,9
91-180,57,-0.132,21.586,16.029,0.8668,0.863,0.169,LightGBM,BASE+ALL,2020,9
181-270,64,0.181,87.076,58.546,0.9552,0.8644,0.452,LightGBM,BASE+ALL,2020,9
271-365,86,0.161,48.651,29.836,0.861,0.9064,0.445,LightGBM,BASE+ALL,2020,9
1-7,4,-53.178,27.354,24.051,0.9849,7.3447,0.234,SARIMAX,BASE+ALL,2020,9
8-30,19,-0.064,156.748,59.505,0.9657,0.9131,0.307,SARIMAX,BASE+ALL,2020,9
31-90,24,-1.033,20.408,15.205,0.7296,1.2507,0.43,SARIMAX,BASE+ALL,2020,9
91-180,57,-0.136,21.623,15.433,0.8346,0.8309,0.049,SARIMAX,BASE+ALL,2020,9
181-270,64,0.208,85.61,56.589,0.9233,0.8355,0.469,SARIMAX,BASE+ALL,2020,9
271-365,86,-0.007,53.296,32.531,0.9388,0.9883,0.255,SARIMAX,BASE+ALL,2020,9
1-7,4,-55.025,27.816,27.355,1.1202,8.3537,0.547,Ensemble_unweighted,BASE+ALL,2020,9
8-30,19,0.011,151.147,58.27,0.9456,0.8941,0.375,Ensemble_unweighted,BASE+ALL,2020,9
31-90,24,-2.57,27.045,21.037,1.0094,1.7303,0.353,Ensemble_unweighted,BASE+ALL,2020,9
91-180,57,-0.082,21.102,15.216,0.8228,0.8192,0.159,Ensemble_unweighted,BASE+ALL,2020,9
181-270,64,0.212,85.413,56.659,0.9244,0.8366,0.479,Ensemble_unweighted,BASE+ALL,2020,9
271-365,86,0.132,49.504,29.763,0.8589,0.9042,0.396,Ensemble_unweighted,BASE+ALL,2020,9
