ssp,gcm,realization,tower,year,multiplier,model,annual_mean,trend_annual_mean
ssp245,ACCESS-ESM1-5,1,9,2031,3.0,PrimaryHybrid,75.85614653404083,81.04108458717755
ssp245,ACCESS-ESM1-5,1,9,2032,1.0,PrimaryHybrid,34.53979934557255,37.02213968579143
ssp245,ACCESS-ESM1-5,1,9,2032,2.0,PrimaryHybrid,54.833432786253724,58.986926156227945
ssp245,ACCESS-ESM1-5,1,9,2032,3.0,PrimaryHybrid,76.11999813242927,80.95171262666449
ssp245,ACCESS-ESM1-5,1,9,2033,1.0,PrimaryHybrid,34.80020418294411,37.07638729501116
ssp245,ACCESS-ESM1-5,1,9,2033,2.0,PrimaryHybrid,55.06513798785466,59.041173765447674
ssp245,ACCESS-ESM1-5,1,9,2033,3.0,PrimaryHybrid,76.33513623899525,81.00596023588419
ssp245,ACCESS-ESM1-5,1,9,2034,1.0,PrimaryHybrid,34.653574631209324,37.13427742955019
ssp245,ACCESS-ESM1-5,1,9,2034,2.0,PrimaryHybrid,54.91777576914191,59.0990638999867
ssp245,ACCESS-ESM1-5,1,9,2034,3.0,PrimaryHybrid,76.18322632916913,81.06385037042322
ssp245,ACCESS-ESM1-5,1,9,2035,1.0,PrimaryHybrid,35.0301008652923,37.13343184331535
ssp245,ACCESS-ESM1-5,1,9,2035,2.0,PrimaryHybrid,55.34468640468749,59.098218313751865
ssp245,ACCESS-ESM1-5,1,9,2035,3.0,PrimaryHybrid,76.61089890930279,81.06300478418841
ssp245,ACCESS-ESM1-5,1,9,2036,1.0,PrimaryHybrid,34.58725258133038,37.160880873400146
ssp245,ACCESS-ESM1-5,1,9,2036,2.0,PrimaryHybrid,54.87748681902828,59.12566734383667
ssp245,ACCESS-ESM1-5,1,9,2036,3.0,PrimaryHybrid,76.1509017525482,81.0904538142732
ssp245,ACCESS-ESM1-5,1,9,2037,1.0,PrimaryHybrid,34.292992463199596,37.11905687732307
ssp245,ACCESS-ESM1-5,1,9,2037,2.0,PrimaryHybrid,54.5515311223217,59.08384334775959
ssp245,ACCESS-ESM1-5,1,9,2037,3.0,PrimaryHybrid,75.79736365476016,81.04862981819612
ssp245,ACCESS-ESM1-5,1,9,2038,1.0,PrimaryHybrid,34.77489631282659,37.16497871438437
ssp245,ACCESS-ESM1-5,1,9,2038,2.0,PrimaryHybrid,55.058695075833974,59.12976518482089
ssp245,ACCESS-ESM1-5,1,9,2038,3.0,PrimaryHybrid,76.32416302062121,81.09455165525742
ssp245,ACCESS-ESM1-5,1,9,2039,1.0,PrimaryHybrid,34.804990926633245,37.1273176043865
ssp245,ACCESS-ESM1-5,1,9,2039,2.0,PrimaryHybrid,55.05504575812356,59.09210407482303
ssp245,ACCESS-ESM1-5,1,9,2039,3.0,PrimaryHybrid,76.31033785210354,81.05689054525955
ssp245,ACCESS-ESM1-5,1,9,2040,1.0,PrimaryHybrid,34.46582870463112,37.13980626262414
ssp245,ACCESS-ESM1-5,1,9,2040,2.0,PrimaryHybrid,54.734013009350406,59.104592733060656
ssp245,ACCESS-ESM1-5,1,9,2040,3.0,PrimaryHybrid,75.98930240199674,81.06937920349718
ssp245,ACCESS-ESM1-5,1,9,2041,1.0,PrimaryHybrid,34.4454068692151,37.2138926258151
ssp245,ACCESS-ESM1-5,1,9,2041,2.0,PrimaryHybrid,54.708826062894104,59.17867909625163
ssp245,ACCESS-ESM1-5,1,9,2041,3.0,PrimaryHybrid,75.9920857632614,81.14346556668814
ssp245,ACCESS-ESM1-5,1,9,2042,1.0,PrimaryHybrid,34.59787878940899,37.097266770502195
ssp245,ACCESS-ESM1-5,1,9,2042,2.0,PrimaryHybrid,54.878888863891326,59.06205324093871
ssp245,ACCESS-ESM1-5,1,9,2042,3.0,PrimaryHybrid,76.1736032346834,81.02683971137525
ssp245,ACCESS-ESM1-5,1,9,2043,1.0,PrimaryHybrid,35.39267709981145,37.16627961628412
ssp245,ACCESS-ESM1-5,1,9,2043,2.0,PrimaryHybrid,55.6842029089682,59.13106608672065
ssp245,ACCESS-ESM1-5,1,9,2043,3.0,PrimaryHybrid,76.98545421249591,81.09585255715717
ssp245,ACCESS-ESM1-5,1,9,2044,1.0,PrimaryHybrid,34.85774998763522,37.268075189939836
ssp245,ACCESS-ESM1-5,1,9,2044,2.0,PrimaryHybrid,55.11900215854972,59.232861660376365
ssp245,ACCESS-ESM1-5,1,9,2044,3.0,PrimaryHybrid,76.3801768551877,81.19764813081288
ssp245,ACCESS-ESM1-5,1,9,2045,1.0,PrimaryHybrid,34.757711077866674,37.19613531488347
