anchor_year,eval_tower,model,bin,date,feature,shap_value
2018,2,Ensemble_unweighted,1-7,2018-12-18,ar_ch4_dlag1,-0.29762099794062397
2018,2,Ensemble_unweighted,1-7,2018-12-18,ar_ch4_dlag2,-0.2010638568042267
2018,2,Ensemble_unweighted,1-7,2018-12-18,ar_ch4_dlag3,0.28086550519058906
2018,2,Ensemble_unweighted,1-7,2018-12-18,ar_ch4_dlag7,0.018026693647277926
2018,2,Ensemble_unweighted,1-7,2018-12-18,ar_ch4_dlag14,0.02424058504046447
2018,2,Ensemble_unweighted,1-7,2018-12-18,ar_ch4_drm7,0.2729499605301606
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_WS_mean,2.865477980478943
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_USTAR_mean,8.14060254546385
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TA_mean,-0.2261137316458487
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TA_min,-0.033968314117711666
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TA_max,-0.4168217682001162
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_VPD_mean,0.6590395480142803
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWIN_mean,0.7606163734588192
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_RN_mean,-0.09883668457980445
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_PPFD_mean,-0.26449716506941373
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWC_mean,-0.4222588655649402
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TS_mean,-0.03257093953416436
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SHF_mean,-0.19209450151334628
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_PRECIP_sum,6.724260292523832
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_wd_sin,0.5945504961746193
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_wd_cos,0.43047478254764865
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWC_lag7,0.011631593168567813
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TS_lag7,0.09611556781561821
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWC_lag14,0.09328242780798633
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TS_lag14,0.20905313421200045
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWC_lag21,-0.008110380018966933
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TS_lag21,-0.26461222620571145
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWC_lag28,0.12279032134951542
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TS_lag28,0.5502055499101753
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWC_roll7,-0.19922583298039304
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TS_roll7,-0.03870905473441642
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_SWC_roll14,-0.06539660210553616
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_TS_roll14,-0.04953714797488248
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_DOY_sin,3.4358174914630406
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_DOY_cos,0.15967372464884338
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_is_growing,0.15698521623190445
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_is_winter,0.00032227246596674557
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_lsu_dens,5.434812073871402
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_grazing_active,0.20755083478613937
2018,2,Ensemble_unweighted,1-7,2018-12-18,fx_days_since_grazing,0.1417581245142837
2018,2,Ensemble_unweighted,1-7,2018-12-18,ar_fc_dlag1,0.03730247899569743
2018,2,Ensemble_unweighted,1-7,2018-12-18,is_t2,0.020952761334244518
2018,2,Ensemble_unweighted,1-7,2018-12-18,is_t4,0.2084137898878748
2018,2,Ensemble_unweighted,1-7,2018-12-18,is_t9,-0.9621030482664962
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,ar_ch4_dlag1,-0.298743687570658
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,ar_ch4_dlag2,-0.2125077641384947
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,ar_ch4_dlag3,0.28381041990542005
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,ar_ch4_dlag7,0.01759032935217114
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,ar_ch4_dlag14,0.023423574917609727
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,ar_ch4_drm7,0.28240704074951634
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_WS_mean,2.8620985170113884
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_USTAR_mean,7.999576026954426
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TA_mean,-0.2299607653016023
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TA_min,-0.03411821187197146
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TA_max,-0.4230773098789076
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_VPD_mean,0.6125398888927129
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWIN_mean,0.7712574786721806
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_RN_mean,-0.1006573927986015
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_PPFD_mean,-0.2683517086417415
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWC_mean,-0.42819234677212215
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TS_mean,-0.03486557419077785
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SHF_mean,-0.1942300898275486
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_PRECIP_sum,6.818148876268054
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_wd_sin,0.6055897074009533
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_wd_cos,0.4343148436548485
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWC_lag7,0.01128588727280812
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TS_lag7,0.09644339901533237
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWC_lag14,0.09503551692816294
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TS_lag14,0.2123182767579734
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWC_lag21,-0.007252600618486064
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TS_lag21,-0.27352314451584175
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWC_lag28,0.12404583451150668
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TS_lag28,0.5629193653773611
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWC_roll7,-0.20081982836587015
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TS_roll7,-0.03832754429331917
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_SWC_roll14,-0.0661339379133201
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_TS_roll14,-0.05026575822310511
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_DOY_sin,3.3146529849251505
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_DOY_cos,0.1484125750960001
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_is_growing,0.15114697860732673
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_is_winter,0.00031507316015833535
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_lsu_dens,5.29779072048559
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_grazing_active,0.20328755159271278
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,fx_days_since_grazing,0.13913229545965844
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,ar_fc_dlag1,0.038600874379474015
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,is_t2,0.020548214771940444
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,is_t4,0.21307689800685992
2018,2,Ensemble_MASEweighted,1-7,2018-12-18,is_t9,-0.9852040062965842
2018,2,RF,8-30,2018-12-28,ar_ch4_dlag1,-3.8040391986394884
2018,2,RF,8-30,2018-12-28,ar_ch4_dlag2,-0.7419909051334194
2018,2,RF,8-30,2018-12-28,ar_ch4_dlag3,0.11276098880212441
2018,2,RF,8-30,2018-12-28,ar_ch4_dlag7,0.0654459777235197
2018,2,RF,8-30,2018-12-28,ar_ch4_dlag14,0.036315059727061026
2018,2,RF,8-30,2018-12-28,ar_ch4_drm7,-1.6292706185730954
2018,2,RF,8-30,2018-12-28,fx_WS_mean,-0.4544445684386118
2018,2,RF,8-30,2018-12-28,fx_USTAR_mean,-1.24865709669549
2018,2,RF,8-30,2018-12-28,fx_TA_mean,-0.1287092794839158
2018,2,RF,8-30,2018-12-28,fx_TA_min,-0.048118067011690364
2018,2,RF,8-30,2018-12-28,fx_TA_max,-0.13947023965235522
2018,2,RF,8-30,2018-12-28,fx_VPD_mean,-0.284138399678513
2018,2,RF,8-30,2018-12-28,fx_SWIN_mean,0.06261160039647676
2018,2,RF,8-30,2018-12-28,fx_RN_mean,0.027613028956792605
2018,2,RF,8-30,2018-12-28,fx_PPFD_mean,-0.05214172422441266
2018,2,RF,8-30,2018-12-28,fx_SWC_mean,0.11653727926689879
2018,2,RF,8-30,2018-12-28,fx_TS_mean,-0.04227368397407283
2018,2,RF,8-30,2018-12-28,fx_SHF_mean,-0.13908430938785696
2018,2,RF,8-30,2018-12-28,fx_PRECIP_sum,-0.9928294229368814
2018,2,RF,8-30,2018-12-28,fx_wd_sin,0.18921917783323633
