Datetime,RF_tuned,XGB_tuned,LightGBM_tuned,SARIMAX,Ensemble_4model_tuned,anchor_year,eval_tower
2021-07-23,92.66858648483158,105.01583862304688,119.37469125102817,111.90299911347459,107.24052886809531,2020,9
2021-07-24,96.00011487510803,103.98314666748047,122.6783164004649,96.93393705131182,104.8988787485913,2020,9
2021-07-25,97.78664399831543,98.5282211303711,107.36206129062593,101.56686679557852,101.31094830372274,2020,9
2021-07-26,96.66857810158213,99.89704132080078,112.1027323009999,105.21325265054199,103.4704010934812,2020,9
2021-07-27,97.21782180869603,96.07855987548828,92.95906925732942,101.43176318479365,96.92180353157684,2020,9
2021-07-28,97.55172509189086,92.49016571044922,88.02585873492816,113.47231171902928,97.88501531407438,2020,9
2021-07-29,99.55922053817963,91.1651382446289,88.71417669958362,113.46131586613723,98.22496283713234,2020,9
2021-07-30,100.66471134135976,89.34254455566406,96.48302833106368,101.1652093209001,96.9138733872469,2020,9
2021-07-31,103.1147353418944,84.4601821899414,90.48530086561254,85.6426928817886,90.92572781980924,2020,9
2021-08-01,102.81469041713083,84.16883087158203,87.36246868884487,81.87045434419912,89.05411108043921,2020,9
2021-08-02,108.32459187397856,88.48038482666016,92.4387588811485,101.32244599093285,97.64154539318002,2020,9
2021-08-03,110.67651467432111,91.95693969726562,96.06433229224845,98.644552679197,99.33558483575806,2020,9
2021-08-04,113.89437009698727,91.55050659179688,101.23718554129424,97.0005828387063,100.92066126719617,2020,9
2021-08-05,117.31770237661556,91.9242172241211,106.5834754586864,101.97207251976613,104.4493668947973,2020,9
2021-08-06,116.49065877933162,88.61538696289062,99.31041136484936,111.16217111265507,103.89465705493167,2020,9
2021-08-07,118.03434960329636,88.60081481933594,102.27138204186086,105.8760937313301,103.69566004895582,2020,9
2021-08-08,116.24128667961475,88.76210021972656,100.23898523631357,109.16129926168085,103.60091784933394,2020,9
2021-08-09,90.52457106382616,70.52142333984375,82.97135491242611,68.55344121518827,78.14269763282107,2020,9
2021-08-10,82.36912341003267,66.97787475585938,65.7329492397018,63.9314875871331,69.75285874818174,2020,9
2021-08-11,77.85113265938536,63.78135681152344,61.670766312220714,61.080563183440496,66.0959547416425,2020,9
2021-08-12,76.48332541354239,63.388153076171875,58.999515479427274,59.261967016988535,64.53324024653251,2020,9
2021-08-13,74.00065201605761,65.5562744140625,60.86538814443191,65.55799740063284,66.49507799379622,2020,9
2021-08-14,75.98934374522575,66.32118225097656,58.017375332038036,62.37662289109104,65.67613105483285,2020,9
2021-08-15,75.64715965613566,67.07176208496094,60.8795033175401,66.42704554009381,67.50636764968263,2020,9
2021-08-16,75.48189184044857,67.75171661376953,67.0277693636958,69.92581135537864,70.04679729332312,2020,9
2021-08-17,74.7270901754461,67.31368255615234,54.893021930498584,70.74709415229412,66.92022220359779,2020,9
2021-08-18,73.58198160816185,67.4541244506836,63.046841907290236,69.21082868519132,68.32344416283175,2020,9
2021-08-19,50.9607003456404,48.85892868041992,45.14733986533421,14.423497226845981,39.84761652956013,2020,9
