bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,model,anchor_year,tower,variant,real_frac
31-90,60,-0.435,18.685,12.069,1.0069,0.5611,0.136,LSTM,2021,2,B_resample,0.0
91-180,90,-0.978,18.137,14.011,1.1185,0.6338,0.165,LSTM,2021,2,B_resample,0.0
181-270,90,-1.646,29.242,23.429,1.2636,0.8932,0.207,LSTM,2021,2,B_resample,0.0
271-365,95,-1.492,12.672,9.477,1.449,1.1817,-0.328,LSTM,2021,2,B_resample,0.0
1-7,7,-47.195,12.861,12.704,7.9345,1.1623,0.121,TFT,2021,4,B_resample,0.42857142857142855
8-30,23,-1.818,15.545,13.085,1.7551,0.9659,0.151,TFT,2021,4,B_resample,0.8260869565217391
31-90,60,-0.747,17.197,13.199,1.4368,0.7959,0.175,TFT,2021,4,B_resample,0.8333333333333334
91-180,90,-0.025,72.117,45.315,0.7616,0.6578,0.28,TFT,2021,4,B_resample,1.0
181-270,90,-0.021,83.572,60.933,0.9789,0.9014,0.166,TFT,2021,4,B_resample,0.9777777777777777
271-365,95,0.158,30.139,20.832,0.9569,0.816,0.612,TFT,2021,4,B_resample,0.9578947368421052
1-7,7,-156.098,23.219,21.922,13.6914,2.0056,-0.379,DLinear,2021,4,B_resample,0.42857142857142855
8-30,23,-4.375,21.467,18.442,2.4736,1.3613,0.246,DLinear,2021,4,B_resample,0.8260869565217391
31-90,60,-7.692,38.356,34.894,3.7985,2.1041,0.22,DLinear,2021,4,B_resample,0.8333333333333334
91-180,90,0.146,65.829,50.885,0.8553,0.7387,0.445,DLinear,2021,4,B_resample,1.0
181-270,90,0.318,68.3,55.472,0.8912,0.8206,0.606,DLinear,2021,4,B_resample,0.9777777777777777
271-365,95,-0.93,45.62,36.362,1.6703,1.4242,0.362,DLinear,2021,4,B_resample,0.9578947368421052
1-7,7,-38.534,11.648,11.366,7.0983,1.0398,-0.552,LSTM,2021,4,B_resample,0.42857142857142855
8-30,23,-1.838,15.599,12.527,1.6802,0.9246,-0.147,LSTM,2021,4,B_resample,0.8260869565217391
31-90,60,-0.315,14.92,10.056,1.0947,0.6064,0.078,LSTM,2021,4,B_resample,0.8333333333333334
91-180,90,-0.373,83.466,55.436,0.9317,0.8047,0.163,LSTM,2021,4,B_resample,1.0
181-270,90,-0.075,85.749,56.185,0.9027,0.8312,0.344,LSTM,2021,4,B_resample,0.9777777777777777
271-365,95,-1.773,54.692,36.58,1.6803,1.4328,0.489,LSTM,2021,4,B_resample,0.9578947368421052
1-7,7,-0.76,13.032,12.05,1.0583,0.6467,-0.328,TFT,2021,9,B_resample,0.14285714285714285
8-30,23,0.274,11.291,9.624,0.6192,0.5607,0.547,TFT,2021,9,B_resample,0.5217391304347826
31-90,60,-0.318,10.406,7.782,0.4085,0.706,-0.007,TFT,2021,9,B_resample,0.5833333333333334
91-180,90,0.382,52.883,40.474,0.6319,0.4927,0.668,TFT,2021,9,B_resample,0.9444444444444444
181-270,90,-0.222,39.258,30.255,1.0882,0.5953,0.378,TFT,2021,9,B_resample,0.5222222222222223
271-365,95,-0.193,14.146,11.586,0.6883,0.7546,0.752,TFT,2021,9,B_resample,0.0
1-7,7,-2.939,19.497,17.466,1.534,0.9373,0.583,DLinear,2021,9,B_resample,0.14285714285714285
8-30,23,-1.069,19.065,16.137,1.0383,0.9401,0.619,DLinear,2021,9,B_resample,0.5217391304347826
31-90,60,-6.48,24.786,21.461,1.1265,1.9469,0.155,DLinear,2021,9,B_resample,0.5833333333333334
91-180,90,0.428,50.887,38.78,0.6054,0.4721,0.655,DLinear,2021,9,B_resample,0.9444444444444444
181-270,90,-0.217,39.178,28.787,1.0354,0.5664,0.276,DLinear,2021,9,B_resample,0.5222222222222223
271-365,95,-8.065,38.996,28.071,1.6677,1.8283,-0.242,DLinear,2021,9,B_resample,0.0
1-7,7,-4.117,22.223,19.447,1.708,1.0437,-0.651,LSTM,2021,9,B_resample,0.14285714285714285
8-30,23,-0.973,18.618,14.663,0.9434,0.8542,0.183,LSTM,2021,9,B_resample,0.5217391304347826
31-90,60,-1.429,14.124,9.61,0.5045,0.8718,-0.423,LSTM,2021,9,B_resample,0.5833333333333334
91-180,90,-0.071,69.61,50.497,0.7884,0.6147,0.404,LSTM,2021,9,B_resample,0.9444444444444444
181-270,90,-1.707,58.429,45.974,1.6535,0.9046,-0.096,LSTM,2021,9,B_resample,0.5222222222222223
271-365,95,-0.21,14.245,9.498,0.5643,0.6186,0.316,LSTM,2021,9,B_resample,0.0
