bin,n,R2,RMSE,MAE,MASE,WAPE,Correlation,target,model,config,anchor_year,tower
91-180,90,-0.509,11.015,8.86,0.1783,1.1248,0.345,gapfilled,LightGBM,BASE+arable,2018,2
181-270,90,-1.18,7.111,5.275,0.1018,1.0841,-0.158,gapfilled,LightGBM,BASE+arable,2018,2
271-365,95,0.437,7.867,4.182,0.0925,0.4093,0.701,gapfilled,LightGBM,BASE+arable,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,observed,SARIMAX,BASE+arable,2018,2
8-30,21,-2.926,20.765,18.305,0.393,1.9657,0.067,observed,SARIMAX,BASE+arable,2018,2
31-90,32,-3.521,27.341,25.472,0.56,2.1934,0.17,observed,SARIMAX,BASE+arable,2018,2
91-180,43,-3.496,48.427,43.274,0.7039,2.731,-0.138,observed,SARIMAX,BASE+arable,2018,2
181-270,0,,,,,,,observed,SARIMAX,BASE+arable,2018,2
271-365,0,,,,,,,observed,SARIMAX,BASE+arable,2018,2
1-7,7,-0.024,25.81,19.459,0.6376,0.5843,0.164,gapfilled,SARIMAX,BASE+arable,2018,2
8-30,23,-5.057,19.271,17.989,0.3883,2.04,0.095,gapfilled,SARIMAX,BASE+arable,2018,2
31-90,60,-0.027,22.386,19.257,0.5538,0.7633,0.574,gapfilled,SARIMAX,BASE+arable,2018,2
91-180,90,-10.849,30.865,29.23,0.5881,3.711,-0.052,gapfilled,SARIMAX,BASE+arable,2018,2
181-270,90,-10.491,16.326,14.605,0.282,3.0013,0.116,gapfilled,SARIMAX,BASE+arable,2018,2
271-365,95,-0.468,12.706,8.356,0.1849,0.8176,-0.124,gapfilled,SARIMAX,BASE+arable,2018,2
1-7,6,-1.953,16.865,16.688,0.4542,0.9184,0.969,observed,Ensemble_unweighted,BASE+arable,2018,2
8-30,21,-0.415,12.466,11.624,0.2496,1.2483,0.46,observed,Ensemble_unweighted,BASE+arable,2018,2
31-90,32,-1.079,18.543,15.89,0.3494,1.3683,-0.137,observed,Ensemble_unweighted,BASE+arable,2018,2
91-180,43,-1.171,33.652,26.972,0.4387,1.7022,0.152,observed,Ensemble_unweighted,BASE+arable,2018,2
181-270,0,,,,,,,observed,Ensemble_unweighted,BASE+arable,2018,2
271-365,0,,,,,,,observed,Ensemble_unweighted,BASE+arable,2018,2
1-7,7,-0.116,26.944,23.013,0.754,0.691,0.035,gapfilled,Ensemble_unweighted,BASE+arable,2018,2
8-30,23,-0.777,10.438,9.757,0.2106,1.1064,0.401,gapfilled,Ensemble_unweighted,BASE+arable,2018,2
31-90,60,0.353,17.765,12.038,0.3462,0.4772,0.785,gapfilled,Ensemble_unweighted,BASE+arable,2018,2
91-180,90,-1.928,15.342,13.335,0.2683,1.693,0.309,gapfilled,Ensemble_unweighted,BASE+arable,2018,2
181-270,90,-1.617,7.791,6.319,0.122,1.2986,-0.048,gapfilled,Ensemble_unweighted,BASE+arable,2018,2
271-365,95,0.347,8.47,4.904,0.1085,0.4799,0.678,gapfilled,Ensemble_unweighted,BASE+arable,2018,2
1-7,6,-1.967,16.905,16.725,0.4552,0.9204,0.968,observed,Ensemble_MASEweighted,BASE+arable,2018,2
8-30,21,-0.395,12.376,11.554,0.248,1.2407,0.462,observed,Ensemble_MASEweighted,BASE+arable,2018,2
31-90,32,-1.057,18.442,15.765,0.3466,1.3576,-0.139,observed,Ensemble_MASEweighted,BASE+arable,2018,2
91-180,43,-1.15,33.486,26.783,0.4356,1.6902,0.157,observed,Ensemble_MASEweighted,BASE+arable,2018,2
181-270,0,,,,,,,observed,Ensemble_MASEweighted,BASE+arable,2018,2
271-365,0,,,,,,,observed,Ensemble_MASEweighted,BASE+arable,2018,2
1-7,7,-0.12,26.986,23.07,0.7559,0.6927,0.031,gapfilled,Ensemble_MASEweighted,BASE+arable,2018,2
8-30,23,-0.743,10.338,9.664,0.2086,1.0959,0.404,gapfilled,Ensemble_MASEweighted,BASE+arable,2018,2
31-90,60,0.353,17.776,12.003,0.3452,0.4758,0.784,gapfilled,Ensemble_MASEweighted,BASE+arable,2018,2
91-180,90,-1.863,15.171,13.154,0.2647,1.67,0.312,gapfilled,Ensemble_MASEweighted,BASE+arable,2018,2
181-270,90,-1.58,7.736,6.262,0.1209,1.2869,-0.058,gapfilled,Ensemble_MASEweighted,BASE+arable,2018,2
271-365,95,0.351,8.449,4.872,0.1078,0.4768,0.678,gapfilled,Ensemble_MASEweighted,BASE+arable,2018,2
1-7,6,-3.144,19.978,19.73,0.5369,1.0857,0.971,observed,RF,BASE+flow,2018,2
8-30,21,-0.197,11.464,10.919,0.2344,1.1726,0.071,observed,RF,BASE+flow,2018,2
31-90,32,-1.344,19.687,16.463,0.3619,1.4176,-0.216,observed,RF,BASE+flow,2018,2
91-180,43,-0.741,30.131,23.086,0.3755,1.4569,0.185,observed,RF,BASE+flow,2018,2
181-270,0,,,,,,,observed,RF,BASE+flow,2018,2
271-365,0,,,,,,,observed,RF,BASE+flow,2018,2
1-7,7,-0.033,25.918,23.094,0.7567,0.6934,0.201,gapfilled,RF,BASE+flow,2018,2
8-30,23,-0.398,9.259,8.466,0.1827,0.96,0.097,gapfilled,RF,BASE+flow,2018,2
31-90,60,0.341,17.939,12.131,0.3488,0.4808,0.711,gapfilled,RF,BASE+flow,2018,2
91-180,90,-0.638,11.477,9.277,0.1866,1.1777,0.31,gapfilled,RF,BASE+flow,2018,2
181-270,90,-0.352,5.599,4.063,0.0784,0.835,-0.074,gapfilled,RF,BASE+flow,2018,2
271-365,95,0.318,8.658,6.079,0.1345,0.5949,0.682,gapfilled,RF,BASE+flow,2018,2
1-7,6,-3.589,21.023,20.5,0.5579,1.1281,0.91,observed,XGB,BASE+flow,2018,2
8-30,21,0.147,9.679,8.817,0.1893,0.9468,0.579,observed,XGB,BASE+flow,2018,2
31-90,32,-0.951,17.961,13.984,0.3075,1.2042,-0.176,observed,XGB,BASE+flow,2018,2
91-180,43,-0.6,28.887,21.635,0.3519,1.3654,0.192,observed,XGB,BASE+flow,2018,2
181-270,0,,,,,,,observed,XGB,BASE+flow,2018,2
271-365,0,,,,,,,observed,XGB,BASE+flow,2018,2
1-7,7,-0.237,28.366,25.371,0.8313,0.7618,-0.026,gapfilled,XGB,BASE+flow,2018,2
8-30,23,0.074,7.533,6.622,0.1429,0.7509,0.487,gapfilled,XGB,BASE+flow,2018,2
31-90,60,0.27,18.882,12.882,0.3704,0.5106,0.705,gapfilled,XGB,BASE+flow,2018,2
91-180,90,-0.393,10.583,8.429,0.1696,1.0702,0.343,gapfilled,XGB,BASE+flow,2018,2
181-270,90,-1.274,7.262,5.539,0.1069,1.1383,-0.281,gapfilled,XGB,BASE+flow,2018,2
271-365,95,0.254,9.059,5.505,0.1218,0.5387,0.561,gapfilled,XGB,BASE+flow,2018,2
1-7,6,-2.23,17.637,16.61,0.452,0.9141,0.797,observed,LightGBM,BASE+flow,2018,2
8-30,21,0.075,10.076,9.2,0.1975,0.988,0.459,observed,LightGBM,BASE+flow,2018,2
31-90,32,-0.867,17.571,13.728,0.3018,1.1821,-0.192,observed,LightGBM,BASE+flow,2018,2
91-180,43,-0.585,28.754,21.572,0.3509,1.3614,0.353,observed,LightGBM,BASE+flow,2018,2
181-270,0,,,,,,,observed,LightGBM,BASE+flow,2018,2
271-365,0,,,,,,,observed,LightGBM,BASE+flow,2018,2
1-7,7,-0.233,28.32,24.28,0.7955,0.7291,-0.207,gapfilled,LightGBM,BASE+flow,2018,2
8-30,23,-0.013,7.881,6.886,0.1486,0.7808,0.365,gapfilled,LightGBM,BASE+flow,2018,2
31-90,60,0.249,19.141,12.61,0.3626,0.4998,0.718,gapfilled,LightGBM,BASE+flow,2018,2
91-180,90,-0.571,11.239,8.82,0.1775,1.1197,0.252,gapfilled,LightGBM,BASE+flow,2018,2
181-270,90,-0.774,6.415,4.785,0.0924,0.9833,-0.063,gapfilled,LightGBM,BASE+flow,2018,2
271-365,95,0.338,8.533,4.71,0.1042,0.4609,0.604,gapfilled,LightGBM,BASE+flow,2018,2
1-7,6,-1.087,14.179,12.876,0.3504,0.7086,0.803,observed,SARIMAX,BASE+flow,2018,2
8-30,21,-2.926,20.765,18.305,0.393,1.9657,0.067,observed,SARIMAX,BASE+flow,2018,2
31-90,32,-3.521,27.341,25.472,0.56,2.1934,0.17,observed,SARIMAX,BASE+flow,2018,2
91-180,43,-3.496,48.427,43.274,0.7039,2.731,-0.138,observed,SARIMAX,BASE+flow,2018,2
181-270,0,,,,,,,observed,SARIMAX,BASE+flow,2018,2
271-365,0,,,,,,,observed,SARIMAX,BASE+flow,2018,2
1-7,7,-0.024,25.81,19.459,0.6376,0.5843,0.164,gapfilled,SARIMAX,BASE+flow,2018,2
8-30,23,-5.057,19.271,17.989,0.3883,2.04,0.095,gapfilled,SARIMAX,BASE+flow,2018,2
31-90,60,-0.027,22.386,19.257,0.5538,0.7633,0.574,gapfilled,SARIMAX,BASE+flow,2018,2
91-180,90,-10.849,30.865,29.23,0.5881,3.711,-0.052,gapfilled,SARIMAX,BASE+flow,2018,2
181-270,90,-10.491,16.326,14.605,0.282,3.0013,0.116,gapfilled,SARIMAX,BASE+flow,2018,2
271-365,95,-0.468,12.706,8.356,0.1849,0.8176,-0.124,gapfilled,SARIMAX,BASE+flow,2018,2
1-7,6,-2.255,17.706,17.429,0.4743,0.9591,0.948,observed,Ensemble_unweighted,BASE+flow,2018,2
8-30,21,-0.337,12.117,11.309,0.2428,1.2145,0.522,observed,Ensemble_unweighted,BASE+flow,2018,2
31-90,32,-1.301,19.508,16.681,0.3667,1.4364,-0.15,observed,Ensemble_unweighted,BASE+flow,2018,2
